,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.044892780482769,2166144,90,4.0,5639,1,661,shot,0.0,0,marcus-rashford,814590,25.6,50.7,0,0,50.6,19.0,19.2,50.4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,0.077008970081806,2166128,90,4.0,5601,1,699,shot,0.1993,0,marcus-rashford,814590,8.1,31.6,0,0,47.8,1.9,0.90000000000001,48.4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
2,0.015199273824692,2166060,89,0.0,5301,2,99,shot,0.0,0,anthony-elanga,979232,7.0,31.3,0,0,68.2,94.4,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3,0.053306318819523,2165987,84,0.0,5004,7,396,shot,0.4582,0,willy-boly,139310,12.4,64.4,0,0,45.6,27.8,1.2,52.3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
4,0.055845864117146,2165975,83,0.0,4972,8,428,shot,0.0,0,morgan-gibbs-white,865912,18.9,47.8,0,0,49.6,19.0,12.0,48.7,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
5,0.06043403595686,2165939,80,0.0,4796,11,604,shot,0.0,0,taiwo-awoniyi,359664,9.7,48.7,0,0,69.4,13.9,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
6,0.7884,2165887,76,0.0,4542,15,858,shot,0.9759,penalty,bruno-fernandes,288205,11.5,50.0,0,0,52.8,13.9,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
7,0.073276177048683,2165716,65,0.0,3848,26,1552,shot,0.0,0,antony,958380,17.9,55.2,0,0,60.3,59.7,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
8,0.048215005546808,2165666,61,0.0,3637,30,1763,shot,0.0,0,taiwo-awoniyi,359664,10.1,52.4,0,0,99.8,6.9,7.5,0.7,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
9,0.32447195053101,2165635,59,0.0,3524,32,1876,shot,0.0,0,bruno-fernandes,288205,4.7,55.1,0,0,66.1,12.5,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
10,0.044840704649687,2165585,55,0.0,3259,36,2141,shot,0.0,0,antony,958380,20.0,52.2,0,0,50.4,19.0,15.5,51.6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
11,0.031126068904996,2165563,53,0.0,3179,38,2221,shot,0.4139,0,antony,958380,17.8,68.8,0,0,53.9,18.4,0.5,50.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
12,0.031390633434057,2165558,53,0.0,3135,38,2265,shot,0.0124,0,danilo,1064039,25.3,62.4,0,0,50.0,9.5,1.9,50.7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
13,0.30173096060753,2165538,52,0.0,3069,39,2331,shot,0.9299,regular,casemiro,122951,4.5,48.2,0,0,54.3,15.2,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
14,0.016376150771976,2165499,48,0.0,2859,43,2541,shot,0.0,0,bruno-fernandes,288205,26.9,34.8,0,0,46.9,56.9,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
15,0.21164427697659,2165371,45,2.0,2804,1,2596,shot,0.0,0,morgan-gibbs-white,865912,13.8,55.7,0,0,50.2,19.0,7.0,52.3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
16,0.038930736482143,2165272,39,0.0,2339,7,361,shot,0.0,0,bruno-fernandes,288205,20.9,64.9,0,0,48.1,19.0,7.7,56.7,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
17,0.036237612366676,2165191,30,0.0,1785,16,915,shot,0.0,0,anthony-martial,191176,6.7,67.2,0,0,49.1,19.0,5.8,65.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
18,0.62718904018402,2165084,26,0.0,1539,20,1161,shot,0.0,0,casemiro,122951,3.3,45.4,0,0,58.0,20.8,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
19,0.041584670543671,2165004,20,0.0,1196,26,1504,shot,0.1663,0,casemiro,122951,22.1,64.8,0,0,52.9,15.2,2.3,50.4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
20,0.27784332633018,2164963,17,0.0,1002,29,1698,shot,0.9507,regular,christian-eriksen,105734,2.9,46.1,0,0,48.1,19.6,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
21,0.023492857813835,2164971,17,0.0,994,29,1706,shot,0.1718,0,bruno-fernandes,288205,28.8,62.6,0,0,53.2,10.1,1.5,48.6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
22,0.018178535625339,2164881,11,0.0,656,35,2044,shot,0.0311,0,bruno-fernandes,288205,29.0,37.1,0,0,51.2,15.8,1.9,50.4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
23,0.029012078419328,2164829,6,0.0,336,40,2364,shot,0.0,0,casemiro,122951,23.6,68.7,0,0,69.1,2.8,14.5,56.1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
24,0.17448832094669,2164807,4,0.0,226,42,2474,shot,0.549,regular,willy-boly,139310,6.3,51.2,0,0,46.2,6.3,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
25,0.56406265497208,2164789,2,0.0,88,44,2612,shot,0.9804,regular,taiwo-awoniyi,359664,8.7,50.9,0,0,46.8,0.6,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
26,0.037650853395462,2164772,1,0.0,35,45,2665,shot,0.1883,0,antony,958380,22.2,58.7,0,0,53.0,17.7,2.2,50.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
