,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,xgot,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.026438174769282,2171336,90,7.0,5764,1,536,shot,0,0.0,nick-pope,162653,12.4,45.8,0,0,58.8,45.8,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
1,0.35637411475182,2171327,90,3.0,5561,1,739,shot,regular,0.8356,darwin-nunez,924871,12.0,64.3,0,0,54.1,13.3,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2,0.1152620241046,2171322,90,3.0,5531,1,769,shot,0,0.102,sean-longstaff,866191,7.1,65.1,0,0,47.4,5.1,5.7,62.6,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
3,0.072798743844032,2171310,90,0.0,5370,1,30,shot,0,0.0,callum-wilson,113956,12.3,57.3,0,0,45.2,61.1,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
4,0.050752479583025,2171312,89,0.0,5316,2,84,shot,0,0.0909,sean-longstaff,866191,24.0,43.0,0,0,52.3,5.1,4.1,48.9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
5,0.05120750144124,2171307,89,0.0,5293,2,107,shot,0,0.0,miguel-almiron,333373,13.8,70.1,0,0,52.0,19.0,10.7,65.2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
6,0.0099217658862472,2171297,85,0.0,5061,6,339,shot,0,0.0,sven-botman,910046,13.2,41.2,0,0,35.8,12.5,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
7,0.039033453911543,2171287,84,0.0,4990,7,410,shot,0,0.0,dominik-szoboszlai,869856,19.0,46.4,0,0,51.1,19.0,17.7,46.6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
8,0.072647579014301,2171281,81,0.0,4825,10,575,shot,regular,0.6796,darwin-nunez,924871,13.6,70.6,0,0,54.5,2.5,0.0,0.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
9,0.075359478592873,2171264,79,0.0,4712,12,688,shot,0,0.0,harvey-barnes,855647,12.4,35.7,0,0,49.6,19.0,10.9,37.5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
10,0.15601454675198,2171253,76,0.0,4516,15,884,shot,0,0.0,miguel-almiron,333373,13.8,59.3,0,0,55.3,7.6,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
11,0.029981466010213,2171243,74,0.0,4396,17,1004,shot,0,0.0,callum-wilson,113956,11.7,58.3,0,0,39.8,13.9,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
12,0.14173769950867,2171218,67,0.0,3986,24,1414,shot,0,0.0,mohamed-salah,159665,8.1,40.2,0,0,52.2,19.0,6.7,41.5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
13,0.074278123676777,2171212,66,0.0,3947,25,1453,shot,0,0.0,sven-botman,910046,8.7,51.8,0,0,63.5,9.7,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
14,0.085497759282589,2171199,64,0.0,3816,27,1584,shot,0,0.0,gordon-anthony,914902,18.5,48.9,0,0,41.0,18.1,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
15,0.012945242226124,2171181,62,0.0,3704,29,1696,shot,0,0.0,joe-gomez,318927,14.1,52.0,0,0,65.7,44.4,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
16,0.0198710616678,2171151,58,0.0,3433,33,1967,shot,0,0.0,bruno-guimaraes,866469,26.0,33.6,0,0,43.0,72.2,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
17,0.027054876089096,2171126,54,0.0,3225,37,2175,shot,0,0.0235,gordon-anthony,914902,19.1,31.2,0,0,49.4,15.8,2.0,47.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
18,0.125911206007,2171102,50,0.0,2957,41,2443,shot,0,0.0,miguel-almiron,333373,9.8,63.5,0,0,52.8,80.6,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
19,0.16125278174877,2171091,47,0.0,2793,44,2607,shot,0,0.4268,alexander-isak,823941,7.0,44.5,0,0,53.4,1.4,1.9,48.4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20,0.03392368927598,2170995,45,1.0,2702,1,2698,shot,0,0.0,dominik-szoboszlai,869856,30.3,49.4,0,0,47.1,62.5,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
21,0.080262467265129,2170954,38,0.0,2244,8,456,shot,0,0.0,miguel-almiron,333373,18.2,52.2,0,0,58.7,52.8,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
22,0.025827672332525,2170944,36,0.0,2153,10,547,shot,0,0.0,miguel-almiron,333373,21.9,36.4,0,0,38.8,27.8,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
23,0.10006751865149,2170942,36,0.0,2121,10,579,shot,0,0.1744,miguel-almiron,333373,14.2,55.0,0,0,47.6,26.6,1.2,50.7,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
24,0.020823484286666,2170921,31,0.0,1848,15,852,shot,0,0.0,sandro-tonali,892673,24.2,49.4,0,0,50.3,19.0,18.8,49.5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
25,0.096166431903839,2170920,31,0.0,1846,15,854,shot,0,0.0,fabian-schar,101882,20.2,39.8,0,0,45.5,19.0,11.9,45.8,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
26,0.50617873668671,2170892,25,0.0,1487,21,1213,shot,regular,0.2489,gordon-anthony,914902,14.3,44.2,0,0,49.5,4.4,0.0,0.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
27,0.032552443444729,2170880,24,0.0,1412,22,1288,shot,0,0.0331,mohamed-salah,159665,18.2,70.5,0,0,50.2,24.1,2.3,52.2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
28,0.075686819851398,2170840,17,0.0,992,29,1708,shot,0,0.2032,luis-diaz,883537,8.1,36.7,0,0,53.7,19.0,1.9,45.3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
29,0.020531168207526,2170833,16,0.0,952,30,1748,shot,0,0.2593,gordon-anthony,914902,24.4,53.6,0,0,46.5,1.9,3.6,50.7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
30,0.061747804284096,2170827,16,0.0,906,30,1794,shot,0,0.0158,joelinton,560128,13.9,30.8,0,0,50.3,13.3,2.0,47.7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
31,0.11022871732712,2170733,1,0.0,49,45,2651,shot,0,0.0,joel-matip,51501,7.3,47.3,0,0,58.3,73.6,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
