,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.051827639341354,2181283,90,6.0,5742,1,558,shot,0.0,0,raheem-sterling,138534,11.0,67.4,0,0,70.9,9.7,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,0.04426296427846,2181273,90,5.0,5676,1,624,shot,0.1176,0,anthony-elanga,979232,3.3,29.4,0,0,52.3,29.7,0.5,45.8,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2,0.029811214655638,2181183,89,0.0,5291,2,109,shot,0.1445,0,anthony-elanga,979232,26.0,32.0,0,0,53.1,5.7,2.3,49.1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
3,0.070720784366131,2181196,88,0.0,5276,3,124,shot,0.0,0,ian-maatsen,976263,19.1,52.0,0,0,45.7,19.0,14.7,52.5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
4,0.016269201412797,2181167,87,0.0,5185,4,215,shot,0.0,0,mykhaylo-mudryk,958966,31.1,48.0,0,0,51.9,19.0,22.9,48.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
5,0.061184011399746,2181163,86,0.0,5149,5,251,shot,0.1504,0,thiago-silva,33541,3.4,65.8,0,0,46.0,14.6,0.7,55.2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
6,0.45445856451988,2181133,83,0.0,4960,8,440,shot,0.0,0,nicolas-jackson,1085381,4.3,51.1,0,0,49.7,55.6,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
7,0.016142850741744,2181071,78,0.0,4664,13,736,shot,0.0,0,noni-madueke,966547,12.6,72.2,0,0,46.2,19.0,11.4,70.4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
8,0.029802935197949,2180900,64,0.0,3827,27,1573,shot,0.0,0,axel-disasi,827243,22.5,70.1,0,0,50.6,19.0,17.7,65.7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
9,0.29813691973686,2180793,56,0.0,3351,35,2049,shot,0.0,0,nicolas-jackson,1085381,7.2,49.8,0,0,51.5,19.0,6.3,49.6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
10,0.10386005789042,2180734,54,0.0,3207,37,2193,shot,0.0,0,axel-disasi,827243,7.3,52.4,0,0,42.7,54.2,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
11,0.077409498393536,2180722,53,0.0,3169,38,2231,shot,0.0,0,moises-caicedo,987650,18.9,47.7,0,0,50.0,19.0,14.9,48.2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
12,0.42939573526382,2180660,48,0.0,2869,43,2531,shot,0.6838,regular,anthony-elanga,979232,14.1,50.2,0,0,47.2,3.2,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
13,0.015353629365563,2180637,48,0.0,2820,43,2580,shot,0.0,0,ryan-yates,846252,32.4,34.7,0,0,37.1,91.7,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
14,0.066417641937733,2180531,45,6.0,3023,1,2377,shot,0.0,0,enzo-fernandez,974505,24.5,42.9,0,0,48.7,19.0,11.2,47.5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
15,0.01740219257772,2180499,45,4.0,2903,1,2497,shot,0.0166,0,enzo-fernandez,974505,28.2,46.1,0,0,49.8,17.1,1.6,50.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
16,0.12515787780285,2180501,45,4.0,2892,1,2508,shot,0.0,0,nicolas-jackson,1085381,11.5,60.1,0,0,47.8,19.0,8.9,58.3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
17,0.059193797409534,2180441,45,0.0,2654,1,46,shot,0.0,0,raheem-sterling,138534,8.4,65.1,0,0,54.8,9.7,7.9,63.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
18,0.0072896750643849,2180428,43,0.0,2571,3,129,shot,0.0,0,orel-mangala,793988,22.0,63.0,0,0,96.3,12.5,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
19,0.10980860888958,2180368,39,0.0,2283,7,417,shot,0.0,0,nicolas-jackson,1085381,9.6,66.9,0,0,50.9,5.6,7.7,64.3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
20,0.070028744637966,2180357,37,0.0,2195,9,505,shot,0.0,0,ben-chilwell,802695,21.4,61.9,0,0,52.4,19.0,13.8,56.9,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
21,0.076246045529842,2180334,35,0.0,2079,11,621,shot,0.0,0,enzo-fernandez,974505,18.7,50.3,0,0,53.6,59.7,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
22,0.097619250416756,2180295,31,0.0,1846,15,854,shot,0.0,0,taiwo-awoniyi,359664,4.6,58.2,0,0,43.4,19.4,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
