,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot
0,0.057203732430935,0.2054,2166169,90,6.0,5754,1,546,shot,0,pablo-sarabia,138573,23.1,36.7,0,0,53.4,7.6,1.0,49.6,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
1,0.15680879354477,0.0,2166124,90,4.0,5598,1,702,shot,0,pablo-sarabia,138573,14.2,45.2,0,0,49.3,19.0,12.5,45.8,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
2,0.25837677717209,0.9254,2166039,87,0.0,5181,4,219,shot,regular,sasa-kalajdzic,870038,5.1,49.3,0,0,53.8,8.2,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
3,0.062270179390907,0.0,2166017,86,0.0,5129,5,271,shot,0,jarrad-branthwaite,979563,5.1,37.9,0,0,58.8,20.8,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4,0.029843755066395,0.0,2165845,73,0.0,4353,18,1047,shot,0,mario-lemina,307284,5.8,30.1,0,0,52.1,19.0,5.1,32.1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
5,0.054919987916946,0.0,2165819,68,0.0,4031,23,1369,shot,0,youssef-chermiti,1145627,9.8,56.7,0,0,49.5,19.0,7.5,55.2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
6,0.21012227237225,0.3171,2165789,67,0.0,3971,24,1429,shot,0,abdoulaye-doucoure,96535,3.4,42.7,0,0,50.5,32.3,0.90000000000001,48.6,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
7,0.048989560455084,0.0544,2165701,64,0.0,3819,27,1581,shot,0,arnaut-danjuma,827064,10.6,64.0,0,0,51.2,8.2,1.9,51.8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
8,0.30229943990707,0.0,2165645,60,0.0,3589,31,1811,shot,0,fabio-silva,954076,12.4,32.6,0,0,40.0,2.8,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
9,0.061597228050232,0.0197,2165580,53,0.0,3150,38,2250,shot,0,jarrad-branthwaite,979563,9.5,53.6,0,0,50.2,16.5,2.9,52.2,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
