,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.035818878561258,0.024,2136642,90,5.0,5692,1,608,shot,0,aymeric-laporte,149734,9.4,43.1,0,0,49.6,10.1,1.4,50.0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
1,0.018993444740772,0.0,2136632,88,0.0,5238,3,162,shot,0,phil-foden,859765,17.8,71.6,0,0,41.2,9.7,0.0,0.0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
2,0.090290904045105,0.0204,2136630,86,0.0,5130,5,270,shot,0,julian-alvarez,944656,11.7,66.4,0,0,50.3,10.1,3.5,54.7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
3,0.024101749062538,0.0,2136623,82,0.0,4869,9,531,shot,0,jacob-bruun-larsen,809276,4.2,62.4,0,0,44.0,83.3,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
4,0.044712103903294,0.0,2136624,80,0.0,4799,11,601,shot,0,anass-zaroury,877036,18.3,46.4,0,0,48.4,19.0,16.4,46.9,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
5,0.19723929464817,0.0,2136614,79,0.0,4685,12,715,shot,0,julian-alvarez,944656,11.2,39.7,0,0,49.4,12.5,8.5,42.1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
6,0.41728845238686,0.9315,2136605,75,0.0,4490,16,910,shot,regular,rodri,827606,4.8,50.6,0,0,53.3,25.3,0.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
7,0.31068441271782,0.0,2136609,75,0.0,4489,16,911,shot,0,nathan-ake,149663,4.2,50.4,0,0,47.5,19.0,2.8,51.1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
8,0.050265740603209,0.0,2136577,67,0.0,4000,24,1400,shot,0,rodri,827606,14.1,60.8,0,0,47.7,19.0,11.8,59.4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
9,0.058670837432146,0.0,2136548,60,0.0,3577,31,1823,shot,0,julian-alvarez,944656,11.8,66.4,0,0,38.8,26.4,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
10,0.012652320787311,0.2577,2136534,55,0.0,3293,36,2107,shot,0,rodri,827606,13.4,51.5,0,0,53.8,7.6,1.8,51.1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
11,0.019333474338055,0.0476,2136530,55,0.0,3251,36,2149,shot,0,rodri,827606,29.4,56.1,0,0,49.9,34.2,1.5,50.7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
12,0.035532001405954,0.0,2136526,53,0.0,3153,38,2247,shot,0,phil-foden,859765,4.9,37.4,0,0,47.0,19.0,4.2,39.5,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
13,0.053848274052143,0.0,2136522,52,0.0,3112,39,2288,shot,0,erling-haaland,839956,5.6,31.8,0,0,51.4,22.2,4.9,33.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
14,0.23885889351368,0.3296,2136401,45,1.0,2742,1,2658,shot,0,phil-foden,859765,9.1,52.2,0,0,49.5,6.3,8.4,51.6,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
15,0.11507628113031,0.0,2136342,37,0.0,2209,9,491,shot,0,foster-lyle,901907,14.0,54.5,0,0,50.2,19.0,11.4,53.6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
16,0.13789387047291,0.5038,2136328,36,0.0,2109,10,591,shot,regular,erling-haaland,839956,10.8,62.5,0,0,53.2,27.8,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
17,0.031980849802494,0.0,2136282,29,0.0,1692,17,1008,shot,0,foster-lyle,901907,10.1,27.7,0,0,40.8,15.3,0.0,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
18,0.031805086880922,0.0198,2136207,18,0.0,1062,28,1638,shot,0,zeki-amdouni,990550,11.4,32.8,0,0,50.1,5.7,2.2,46.9,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
19,0.077765859663486,0.0,2136185,15,0.0,856,31,1844,shot,0,luca-koleosho,1216282,13.0,37.1,0,0,41.2,62.5,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
20,0.21088699996471,0.0,2136157,11,0.0,651,35,2049,shot,0,erling-haaland,839956,4.8,57.9,0,0,49.6,81.9,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
21,0.021549364551902,0.0,2136123,6,0.0,311,40,2389,shot,0,kevin-de-bruyne,70996,28.1,61.1,0,0,50.1,58.3,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
22,0.16659861803055,0.6196,2136112,4,0.0,184,42,2516,shot,regular,erling-haaland,839956,6.8,48.5,0,0,53.8,0.6,0.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
