,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.04906614869833,2137527,90,8.0,5833,1,467,shot,0.0,0,martin-odegaard,547410,18.4,61.5,0,0,57.8,37.5,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.022389676421881,2137521,90,5.0,5697,1,603,shot,0.0,0,cheikhou-kouyate,45944,22.8,50.7,0,0,41.8,50.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
2,0.03584786131978,2137518,90,3.0,5572,1,728,shot,0.0,0,martin-odegaard,547410,22.7,37.4,0,0,52.9,19.0,17.7,39.5,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
3,0.12631300091743,2137499,87,0.0,5211,4,189,shot,0.058,0,bukayo-saka,934235,8.8,47.9,0,0,50.6,3.8,1.4,49.6,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
4,0.020507544279099,2137492,85,0.0,5057,6,343,shot,0.0,0,kai-havertz,836705,5.7,69.9,0,0,51.7,19.0,4.9,66.8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
5,0.074694968760014,2137487,83,0.0,4977,8,423,shot,0.0,0,morgan-gibbs-white,865912,16.5,35.9,0,0,53.3,68.1,0.0,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
6,0.57403337955475,2137485,82,0.0,4902,9,498,shot,0.866,regular,taiwo-awoniyi,359664,5.0,42.9,0,0,52.6,1.3,0.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
7,0.17223480343819,2137482,81,0.0,4853,10,547,shot,0.5621,0,declan-rice,856714,13.4,46.7,0,0,46.3,31.0,1.8,49.8,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
8,0.2136939316988,2137472,78,0.0,4653,13,747,shot,0.0822,0,willy-boly,139310,4.4,52.1,0,0,50.3,8.2,0.5,49.5,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
9,0.053456895053387,2137465,76,0.0,4528,15,872,shot,0.4449,0,declan-rice,856714,22.2,56.7,0,0,45.6,1.3,1.4,51.4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
10,0.01958960480988,2137448,70,0.0,4154,21,1246,shot,0.0,0,ola-aina,800417,25.6,28.7,0,0,48.3,19.0,15.7,36.8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
11,0.028286032378674,2137449,69,0.0,4132,22,1268,shot,0.0,0,martin-odegaard,547410,15.1,73.8,0,0,49.4,19.0,7.5,62.1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
12,0.027833886444569,2137407,51,0.0,3041,40,2359,shot,0.1585,0,tomiyasu-takehiro,804434,24.9,34.9,0,0,52.9,0.6,1.4,49.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
13,0.020250871777534,2137358,44,0.0,2602,2,98,shot,0.1363,0,declan-rice,856714,28.2,36.9,0,0,53.3,15.2,1.8,49.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
14,0.042015261948109,2137349,38,0.0,2268,8,432,shot,0.0,0,edward-nketiah,858194,8.4,65.8,0,0,42.2,27.8,0.0,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
15,0.037961605936289,2137339,32,0.0,1911,14,789,shot,0.5987,regular,bukayo-saka,934235,20.6,62.5,0,0,54.5,24.1,0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
16,0.10553319007158,2137321,26,0.0,1523,20,1177,shot,0.0241,regular,edward-nketiah,858194,11.9,43.1,0,0,50.3,5.7,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
17,0.022119294852018,2137314,25,0.0,1466,21,1234,shot,0.0,0,bukayo-saka,934235,11.8,69.3,0,0,49.6,19.0,10.5,67.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
18,0.031504299491644,2137313,24,0.0,1423,22,1277,shot,0.0,0,kai-havertz,836705,20.6,45.2,0,0,53.6,19.0,18.8,45.3,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
19,0.27775681018829,2137273,11,0.0,637,35,2063,shot,0.0,0,brennan-johnson,1085180,16.1,60.8,0,0,41.0,43.1,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
20,0.059651382267475,2137270,10,0.0,563,36,2137,shot,0.0,0,edward-nketiah,858194,5.0,40.2,0,0,68.7,65.3,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
