,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,xgot,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.032707195729017,2181268,90,7.0,5776,1,524,shot,0,0.0,frank-onyeka,885864,13.4,64.5,0,0,40.8,56.9,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,0.22095802426338,2181267,90,7.0,5761,1,539,shot,0,0.0,yoane-wissa,805123,5.6,53.2,0,0,48.6,19.0,4.6,52.9,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2,0.54728823900223,2181229,90,3.0,5542,1,758,shot,regular,0.7509,bryan-mbeumo,927083,14.1,55.3,0,0,52.6,1.9,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
3,0.019741132855415,2181184,90,1.0,5414,1,886,shot,0,0.0,keane-lewis-potter,972421,13.9,51.9,0,0,61.3,9.7,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4,0.02327797934413,2181117,85,0.0,5044,6,356,shot,0,0.0,olakigbe-michael,1014556,13.6,31.7,0,0,52.7,19.0,11.5,34.1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
5,0.16641570627689,2181099,83,0.0,4957,8,443,shot,0,0.0481,kristoffer-ajer,576384,4.4,57.5,0,0,49.2,6.3,1.0,52.3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
6,0.052020031958818,2181076,81,0.0,4831,10,569,shot,0,0.0,david-brooks,855731,16.6,62.4,0,0,59.3,11.1,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
7,0.95678609609604,2181021,77,0.0,4566,14,834,shot,regular,0.8839,david-brooks,855731,4.0,51.3,0,0,50.5,14.6,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
8,0.44831708073616,2181000,76,0.0,4504,15,896,shot,0,0.0,keane-lewis-potter,972421,3.1,42.1,0,0,45.1,15.2,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
9,0.039382036775351,2180989,74,0.0,4410,17,990,shot,0,0.129,frank-onyeka,885864,20.4,56.2,0,0,47.5,1.3,2.2,51.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
10,0.097701981663704,2180972,74,0.0,4397,17,1003,shot,0,0.0701,christian-norgaard,135256,7.8,54.0,0,0,51.2,20.3,1.0,51.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
11,0.017035948112607,2180868,64,0.0,3801,27,1599,shot,0,0.0,rico-henry,599128,26.9,63.4,0,0,63.7,40.3,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
12,0.11690945923328,2180792,59,0.0,3507,32,1893,shot,0,0.0,yoane-wissa,805123,11.0,39.8,0,0,55.5,1.3,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
13,0.031416155397892,2180771,58,0.0,3464,33,1936,shot,0,0.0,philip-billing,548660,22.4,38.0,0,0,47.4,63.9,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
14,0.044141858816147,2180756,57,0.0,3383,34,2017,shot,0,0.0,philip-billing,548660,7.4,33.9,0,0,61.5,11.1,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
15,0.039334107190371,2180724,55,0.0,3292,36,2108,shot,0,0.0,christian-norgaard,135256,7.2,42.6,0,0,53.1,63.9,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
16,0.11139644682407,2180758,55,0.0,3254,36,2146,shot,0,0.0,kevin-schade,1006387,7.7,50.9,0,0,63.2,15.3,3.2,44.6,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
17,0.046606902033091,2180631,49,0.0,2880,42,2520,shot,0,0.1199,ryan-christie,322391,10.4,71.5,0,0,46.1,11.4,2.9,56.1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
18,0.14018242061138,2180625,48,0.0,2838,43,2562,shot,0,0.0252,vitaly-janelt,814873,7.7,53.1,0,0,50.2,17.1,1.1,50.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
19,0.25655618309975,2180616,47,0.0,2760,44,2640,shot,0,0.0,bryan-mbeumo,927083,8.9,55.1,0,0,58.5,13.9,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
20,0.085915632545948,2180444,45,0.0,2647,1,53,shot,0,0.0917,antoine-semenyo,934354,9.5,59.3,0,0,49.6,5.7,4.2,52.7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
21,0.029256196692586,2180381,40,0.0,2342,6,358,shot,0,0.0,hickey-aaron,966869,26.9,49.9,0,0,63.2,5.6,15.9,45.8,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
22,0.33014634251595,2180327,34,0.0,2010,12,690,shot,0,0.0,ethan-pinnock,855864,6.6,46.5,0,0,48.4,62.5,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
23,0.18328043818474,2180293,30,0.0,1797,16,903,shot,regular,0.0903,dominic-solanke,361420,10.3,34.8,0,0,51.7,2.5,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
