,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_free-kick,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.018901612609625,0.124,2152953,90,6.0,5714,1,586,shot,0,harry-wilson,355528,1.2,69.3,0,0,46.6,1.9,0.59999999999999,60.8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1,0.26204892992973,0.1281,2152891,90,5.0,5662,1,638,shot,0,keane-lewis-potter,972421,7.0,42.1,0,0,51.7,6.3,4.9,43.7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
2,0.13836926221848,0.0,2152883,90,5.0,5661,1,639,shot,0,kristoffer-ajer,576384,10.7,46.8,0,0,51.7,19.0,9.7,46.9,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
3,0.95846790075302,0.962,2152853,90,2.0,5516,1,784,shot,regular,bryan-mbeumo,927083,3.6,48.7,0,0,51.9,3.8,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
4,0.074288457632065,0.0,2152707,82,0.0,4871,9,529,shot,0,willian,31417,23.5,43.5,0,0,53.1,55.6,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5,0.55811029672623,0.0,2152669,75,0.0,4490,16,910,shot,0,yoane-wissa,805123,3.7,47.6,0,0,41.8,1.4,3.6,50.7,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
6,0.041937910020351,0.0,2152639,75,0.0,4489,16,911,shot,0,ethan-pinnock,855864,8.3,56.5,0,0,78.3,1.4,4.7,47.3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
7,0.017191953957081,0.0,2152560,69,0.0,4084,22,1316,shot,0,raul-jimenez,192442,14.3,35.2,0,0,49.8,19.0,11.9,37.7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
8,0.7884,0.9964,2152528,66,0.0,3912,25,1488,shot,penalty,bryan-mbeumo,927083,11.5,50.0,0,0,54.4,1.3,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
9,0.27483683824539,0.0,2152494,62,0.0,3706,29,1694,shot,0,yoane-wissa,805123,4.8,51.9,0,0,49.3,19.0,3.7,51.6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
10,0.027906648814678,0.0907,2152431,58,0.0,3468,33,1932,shot,0,harry-wilson,355528,24.6,38.2,0,0,48.2,2.5,2.7,48.6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
