,xg,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.026413971558213,2163667,89,5320,2,80,shot,0.0,0,jacob-brown,858911,15.9,49.1,0,0,49.5,19.0,13.8,49.3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0.04603511467576,2163655,85,5049,6,351,shot,0.0,0,jacob-brown,858911,12.0,73.9,0,0,47.6,61.1,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2,0.077359609305859,2163653,84,4991,7,409,shot,0.0459,0,conor-gallagher,904970,13.8,48.0,0,0,49.3,3.8,2.0,51.1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3,0.11988052725792,2163647,82,4880,9,520,shot,0.0,0,carlton-morris,358222,15.1,48.1,0,0,50.9,19.0,11.0,48.4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
4,0.018326312303543,2163648,82,4867,9,533,shot,0.0,0,carlton-morris,358222,18.4,75.5,0,0,49.8,19.0,7.7,60.8,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
5,0.012430532835424,2163646,81,4857,10,543,shot,0.0,0,pelly-ruddock-mpanzu,387116,19.8,40.7,0,0,51.3,19.0,17.3,41.7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
6,0.45815673470497,2163638,75,4474,16,926,shot,0.9705,regular,nicolas-jackson,1085381,4.8,51.2,0,0,52.3,0.6,0.0,0.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
7,0.037185102701187,2163632,74,4400,17,1000,shot,0.0,0,ross-barkley,98435,27.5,59.2,0,0,55.1,76.4,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
8,0.034188237041235,2163625,72,4286,19,1114,shot,0.0,0,enzo-fernandez,974505,27.4,38.3,0,0,57.3,20.8,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
9,0.28058016300201,2163609,68,4075,23,1325,shot,0.6391,regular,raheem-sterling,138534,8.6,54.5,0,0,52.3,5.7,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
10,0.057468928396702,2163602,67,3986,24,1414,shot,0.0,0,nicolas-jackson,1085381,11.7,66.8,0,0,48.7,19.0,10.3,65.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
11,0.25685739517212,2163595,66,3931,25,1469,shot,0.0,0,raheem-sterling,138534,6.1,65.1,0,0,64.4,2.8,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
12,0.085674084722996,2163586,63,3766,28,1634,shot,0.0,0,ben-chilwell,802695,13.5,49.9,0,0,49.5,19.0,11.1,50.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
13,0.06155176833272,2163577,61,3608,30,1792,shot,0.0675,0,ryan-giles,931304,12.8,36.8,0,0,51.2,23.4,0.90000000000001,48.9,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
14,0.04889652505517,2163556,56,3314,35,2086,shot,0.0,0,enzo-fernandez,974505,9.0,26.8,0,0,38.5,75.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
15,0.2432721555233,2163553,55,3294,36,2106,shot,0.0,0,enzo-fernandez,974505,3.2,37.7,0,0,55.2,13.9,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
16,0.023024827241898,2163544,53,3174,38,2226,shot,0.1819,0,nicolas-jackson,1085381,7.4,28.1,0,0,53.6,1.9,0.7,46.9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
17,0.050132252275944,2163536,51,3057,40,2343,shot,0.1395,0,axel-disasi,827243,9.0,52.6,0,0,47.6,20.9,0.7,51.1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
18,0.15038478374481,2163535,51,3023,40,2377,shot,0.1459,0,nicolas-jackson,1085381,9.7,37.1,0,0,53.2,18.4,1.4,47.8,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
19,0.024038983508945,2163524,49,2883,42,2517,shot,0.0,0,carlton-morris,358222,26.9,63.4,0,0,40.8,72.2,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
20,0.040368642657995,2163367,42,2485,4,215,shot,0.0,0,ross-barkley,98435,3.8,61.3,0,0,47.4,55.6,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
21,0.026701115071774,2163360,41,2441,5,259,shot,0.0,0,issa-kabore,1006189,5.0,69.7,0,0,47.9,19.0,4.0,66.1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
22,0.011657552793622,2163288,31,1840,15,860,shot,0.0,0,gusto-malo,996958,22.7,64.1,0,0,34.5,41.7,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
23,0.076390758156776,2163188,17,988,29,1712,shot,0.5492,regular,raheem-sterling,138534,8.0,61.4,0,0,53.6,0.6,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
24,0.044056531041861,2163163,15,844,31,1856,shot,0.0,0,enzo-fernandez,974505,14.1,38.9,0,0,53.7,39.9,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
25,0.02246206626296,2163110,8,476,38,2224,shot,0.0,0,tahith-chong,825845,8.0,69.7,0,0,63.4,40.3,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
26,0.16384002566338,2163098,7,364,39,2336,shot,0.0294,0,raheem-sterling,138534,9.8,49.5,0,0,49.9,13.3,2.0,49.6,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
27,0.1078651919961,2163149,7,361,39,2339,shot,0.0,0,levi-colwill,996911,7.7,50.2,0,0,49.0,19.0,6.0,50.4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
28,0.081646732985973,2163087,5,241,41,2459,shot,0.0,0,raheem-sterling,138534,4.1,62.1,0,0,47.2,19.0,3.1,59.7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
29,0.023206187412143,2163071,1,5,45,2695,shot,0.0,0,nicolas-jackson,1085381,26.5,59.0,0,0,49.0,19.0,15.3,55.6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
