,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.10829241573811,2146149,90,6.0,5720,1,580,shot,0.0,0,hee-chan-hwang,786186,8.3,43.4,0,0,61.5,18.1,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,0.039264317601919,2146147,90,5.0,5673,1,627,shot,0.0,0,hugo-bueno,1013928,20.7,37.6,0,0,45.8,19.0,17.0,40.6,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
2,0.060971830040216,2146145,90,5.0,5669,1,631,shot,0.0,0,mario-lemina,307284,15.1,48.7,0,0,52.7,19.0,9.6,48.2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
3,0.028592929244041,2146144,90,4.0,5604,1,696,shot,0.0,0,mario-lemina,307284,21.1,54.6,0,0,53.9,22.2,18.2,53.1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
4,0.063584081828594,2146140,90,4.0,5587,1,713,shot,0.0,0,hee-chan-hwang,786186,11.2,32.8,0,0,52.1,19.0,9.3,35.4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
5,0.12763087451458,2146139,90,0.0,5379,1,21,shot,0.0,0,fabio-silva,954076,7.9,55.4,0,0,48.4,19.0,6.0,54.5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
6,0.030134065076709,2146129,88,0.0,5261,3,139,shot,0.1803,0,max-kilman,894474,7.8,39.7,0,0,48.4,29.1,1.4,48.0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
7,0.4441154897213,2146121,85,0.0,5053,6,347,shot,0.0,0,facundo-pellistri,989803,3.1,54.5,0,0,44.7,58.3,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
8,0.073928095400333,2146122,84,0.0,5021,7,379,shot,0.0371,0,fabio-silva,954076,9.5,56.5,0,0,49.6,5.1,0.90000000000001,51.6,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
9,0.079768970608711,2146116,83,0.0,4951,8,449,shot,0.1374,0,fabio-silva,954076,3.7,60.6,0,0,47.4,4.4,0.59999999999999,53.8,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
10,0.053159981966019,2146114,82,0.0,4871,9,529,shot,0.0,0,marcus-rashford,814590,13.6,38.7,0,0,50.4,19.0,11.9,40.1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
11,0.10914915055037,2146112,81,0.0,4805,10,595,shot,0.0,0,hee-chan-hwang,786186,13.3,47.0,0,0,61.2,9.7,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,0.83247643709183,2146109,76,0.0,4512,15,888,shot,0.7361,regular,raphael-varane,138310,3.1,48.9,0,0,50.1,16.5,0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
13,0.37040507793427,2146101,72,0.0,4269,19,1131,shot,0.1046,0,pedro-neto,879349,12.5,55.0,0,0,48.5,20.9,1.9,52.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
14,0.03520368039608,2146093,67,0.0,3990,24,1410,shot,0.0,0,hee-chan-hwang,786186,20.7,31.9,0,0,37.3,44.4,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
15,0.066945344209671,2146090,64,0.0,3831,27,1569,shot,0.0,0,matheus-cunha,886363,8.5,43.7,0,0,68.1,4.2,0.0,0.0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
16,0.039656586945057,2146076,59,0.0,3515,32,1885,shot,0.0,0,alejandro-garnacho,1135873,18.5,34.9,0,0,62.7,62.5,0.0,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
17,0.058265533298254,2146078,59,0.0,3486,32,1914,shot,0.0,0,craig-dawson,50027,7.7,41.8,0,0,54.5,19.0,6.0,42.6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
18,0.068928934633732,2146070,55,0.0,3293,36,2107,shot,0.1614,0,matheus-cunha,886363,22.5,48.2,0,0,47.3,5.7,3.5,49.6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
19,0.054656073451042,2146069,53,0.0,3148,38,2252,shot,0.0,0,antony,958380,5.8,69.4,0,0,48.4,19.0,0.59999999999999,53.4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
20,0.030379798263311,2146064,52,0.0,3067,39,2333,shot,0.0,0,alejandro-garnacho,1135873,13.0,35.7,0,0,53.4,19.0,11.2,37.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
21,0.076093561947346,2146062,51,0.0,3044,40,2356,shot,0.0,0,antony,958380,14.1,49.9,0,0,52.5,19.0,12.5,49.6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
22,0.23558460175991,2146060,49,0.0,2932,42,2468,shot,0.0,0,matheus-cunha,886363,3.1,42.3,0,0,55.5,20.3,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
23,0.50191098451614,2146058,49,0.0,2931,42,2469,shot,0.0,0,pedro-neto,879349,8.3,55.2,0,0,61.3,5.6,2.7,43.5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
24,0.0094229895621538,2146050,46,0.0,2743,45,2657,shot,0.159,0,pedro-neto,879349,1.9,68.7,0,0,51.9,4.4,1.6,66.6,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
