,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.06659010797739,2152893,90,4.0,5620,1,680,shot,0.0,0,dominic-solanke,361420,8.8,54.7,0,0,47.7,83.3,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,0.13484826683998,2152885,90,4.0,5595,1,705,shot,0.3232,0,hamed-junior-traore,892924,14.9,47.0,0,0,47.0,0.6,2.9,50.4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
2,0.019571755081415,2152863,90,2.0,5486,1,814,shot,0.0423,0,hamed-junior-traore,892924,26.9,48.9,0,0,49.8,31.0,1.6,49.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3,0.063451126217842,2152839,90,0.0,5367,1,33,shot,0.0,0,philip-billing,548660,24.9,56.7,0,0,47.7,76.4,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
4,0.3449818789959,2152778,84,0.0,5039,7,361,shot,0.0,0,philip-billing,548660,7.7,47.2,0,0,67.6,8.3,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
5,0.22281560301781,2152783,84,0.0,5038,7,362,shot,0.6073,0,justin-kluivert,851596,8.6,56.8,0,0,51.3,24.7,0.7,51.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
6,0.077688097953796,2152749,83,0.0,4957,8,443,shot,0.0,0,mohamed-salah,159665,19.5,38.0,0,0,40.0,2.8,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
7,0.063959330320358,2152704,80,0.0,4765,11,635,shot,0.0,0,dominic-solanke,361420,18.9,42.8,0,0,36.8,44.4,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
8,0.022062191739678,2152643,74,0.0,4395,17,1005,shot,0.0,0,max-aarons,943645,21.0,68.3,0,0,50.7,19.0,10.3,58.7,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
9,0.019177258014679,2152614,72,0.0,4289,19,1111,shot,0.4944,0,virgil-van-dijk,151545,46.6,64.2,0,0,45.8,31.0,8.1,51.1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
10,0.23210372030735,2152595,70,0.0,4145,21,1255,shot,0.0,0,kieffer-moore,298366,11.2,47.4,0,0,44.7,87.5,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
11,0.1030457764864,2152581,67,0.0,4016,24,1384,shot,0.0717,0,diogo-jota,606164,5.2,60.6,0,0,48.7,3.2,0.90000000000001,54.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
12,0.34430137276649,2152510,62,0.0,3678,29,1722,shot,0.9887,regular,diogo-jota,606164,3.8,47.2,0,0,54.2,17.7,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
13,0.025425223633647,2152511,62,0.0,3676,29,1724,shot,0.1655,0,dominik-szoboszlai,869856,21.1,67.4,0,0,52.6,4.4,2.5,50.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
14,0.090684436261654,2152446,58,0.0,3423,33,1977,shot,0.0,0,diogo-jota,606164,8.4,40.4,0,0,48.6,19.0,6.2,43.3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
15,0.1348360478878,2152391,54,0.0,3215,37,2185,shot,0.0,0,cody-gakpo,862967,14.3,47.6,0,0,49.4,9.7,9.9,48.4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
16,0.084381334483624,2152386,54,0.0,3214,37,2186,shot,0.0,0,cody-gakpo,862967,13.6,45.7,0,0,49.8,19.0,11.5,46.4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
17,0.10241619497538,2152362,53,0.0,3126,38,2274,shot,0.5003,0,mohamed-salah,159665,3.5,65.4,0,0,46.4,3.8,1.5,55.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
