,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.20782707631588,0.2448,2139945,90,5.0,5640,1,660,shot,0,diego-carlos,604232,1.8,44.6,0,0,51.8,4.4,0.0,46.6,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
1,0.034777779132128,0.3477,2139914,90,4.0,5621,1,679,shot,0,douglas-luiz,867887,5.1,17.9,0,0,54.2,31.6,0.3,46.2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2,0.031296834349632,0.2025,2139902,90,2.0,5516,1,784,shot,0,callum-wilson,113956,28.1,73.6,0,0,46.0,10.8,9.2,57.8,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
3,0.53448706865311,0.9535,2139895,90,1.0,5412,1,888,shot,regular,harvey-barnes,855647,9.1,40.4,0,0,45.8,15.2,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
4,0.076278313994408,0.0,2139886,90,0.0,5367,1,33,shot,0,philippe-coutinho,119159,10.0,40.3,0,0,40.8,19.4,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
5,0.11618746072054,0.0,2139845,82,0.0,4906,9,494,shot,0,joelinton,560128,3.0,57.6,0,0,52.4,19.0,0.3,48.7,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
6,0.39052340388298,0.8099,2139832,81,0.0,4850,10,550,shot,0,callum-wilson,113956,7.4,52.8,0,0,52.8,10.1,2.4,51.1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
7,0.015976512804627,0.0423,2139831,80,0.0,4756,11,644,shot,0,callum-wilson,113956,2.9,30.8,0,0,50.4,27.2,0.7,44.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
8,0.47283259034157,0.7785,2139808,77,0.0,4589,14,811,shot,regular,callum-wilson,113956,8.9,48.0,0,0,47.4,24.7,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
9,0.062567166984081,0.0,2139787,75,0.0,4452,16,948,shot,0,diego-carlos,604232,9.1,49.0,0,0,39.8,11.1,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
10,0.018176384270191,0.5733,2139780,74,0.0,4420,17,980,shot,0,matty-cash,833956,11.5,80.0,0,0,54.0,3.8,1.6,52.7,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
11,0.704922914505,0.0,2139726,64,0.0,3816,27,1584,shot,0,matty-cash,833956,7.8,56.3,0,0,53.4,61.1,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
12,0.160520657897,0.3891,2139727,64,0.0,3815,27,1585,shot,0,ollie-watkins,555386,11.8,34.9,0,0,47.2,16.5,1.9,46.2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
13,0.054485909640789,0.0241,2139721,62,0.0,3669,29,1731,shot,0,miguel-almiron,333373,18.1,32.4,0,0,49.7,3.8,5.0,44.4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
14,0.25337481498718,0.3025,2139712,60,0.0,3564,31,1836,shot,0,alexander-isak,823941,12.5,60.6,0,0,48.2,0.6,4.7,54.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
15,0.020784042775631,0.0,2139711,60,0.0,3544,31,1856,shot,0,douglas-luiz,867887,27.8,37.3,0,0,51.7,19.0,14.0,42.8,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
16,0.075137555599213,0.54,2139708,58,0.0,3429,33,1971,shot,regular,alexander-isak,823941,7.5,35.8,0,0,47.4,12.7,0.0,0.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
17,0.025004273280501,0.0,2139696,55,0.0,3262,36,2138,shot,0,boubacar-kamara,826204,5.1,38.2,0,0,62.9,43.1,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
18,0.07021926343441,0.0,2139677,52,0.0,3096,39,2304,shot,0,sven-botman,910046,8.5,50.1,0,0,33.1,27.8,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
19,0.068195059895515,0.0,2139671,51,0.0,3029,40,2371,shot,0,gordon-anthony,914902,12.1,50.3,0,0,52.6,19.0,10.9,50.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
20,0.026595618575811,0.0,2139675,48,0.0,2866,43,2534,shot,0,bruno-guimaraes,866469,11.3,74.5,0,0,51.6,19.0,10.1,71.7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
21,0.15801385045052,0.0,2139515,45,10.0,3282,1,2118,shot,0,dan-burn,99090,4.2,41.8,0,0,51.6,93.1,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
22,0.020918672904372,0.0,2139497,45,7.0,3095,1,2305,shot,0,douglas-luiz,867887,19.8,36.1,0,0,47.8,19.0,18.2,37.4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
23,0.12019492685795,0.0,2139433,42,0.0,2496,4,204,shot,0,diaby-moussa,855817,4.5,67.2,0,0,43.4,6.9,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
24,0.11170841008425,0.0,2139400,35,0.0,2070,11,630,shot,0,douglas-luiz,867887,6.9,54.9,0,0,73.4,27.8,2.7,40.8,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
25,0.15678645670414,0.0,2139345,24,0.0,1419,22,1281,shot,0,ollie-watkins,555386,10.8,50.7,0,0,60.8,1.4,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
26,0.0074548544362187,0.0,2139338,21,0.0,1251,25,1449,shot,0,tyrone-mings,303638,16.1,60.0,0,0,46.6,19.0,14.6,59.4,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
27,0.44386598467827,0.3239,2139321,16,0.0,926,30,1774,shot,regular,alexander-isak,823941,9.0,50.6,0,0,47.6,0.6,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
28,0.13311113417149,0.1254,2139300,11,0.0,624,35,2076,shot,regular,diaby-moussa,855817,12.2,54.7,0,0,48.1,20.9,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
29,0.023409886285663,0.1681,2139292,9,0.0,490,37,2210,shot,0,diaby-moussa,855817,10.1,26.2,0,0,53.2,5.1,2.3,44.8,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
30,0.41778147220612,0.6806,2139285,8,0.0,435,38,2265,shot,0,sandro-tonali,892673,9.3,35.3,0,0,53.6,16.5,6.0,39.9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
31,0.21639737486839,0.8979,2139277,6,0.0,338,40,2362,shot,regular,sandro-tonali,892673,6.5,50.2,0,0,53.7,17.7,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
32,0.065520323812962,0.2468,2139276,6,0.0,327,40,2373,shot,0,bruno-guimaraes,866469,22.7,53.0,0,0,53.7,15.8,1.4,50.9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
