,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.531578540802,0.2037,2167294,90,7.0,5791,1,509,shot,0,jarrod-bowen,552884,13.1,41.2,0,0,50.1,8.2,8.5,43.7,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,0.015411869622767,0.0,2167268,90,4.0,5624,1,676,shot,0,lewis-dunk,115365,32.4,41.9,0,0,53.8,80.6,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
2,0.031796935945749,0.0,2167254,90,3.0,5535,1,765,shot,0,lewis-dunk,115365,9.1,43.7,0,0,46.8,19.0,1.0,52.2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
3,0.21802668273449,0.2709,2167248,90,2.0,5478,1,822,shot,0,evan-ferguson,999231,14.3,54.8,0,0,49.2,29.1,2.5,51.3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
4,0.019677082076669,0.0,2167232,90,0.0,5384,1,16,shot,0,joao-pedro,975079,11.1,38.8,0,0,53.5,19.0,10.3,39.3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
5,0.074141882359982,0.1021,2167199,87,0.0,5207,4,193,shot,0,joel-veltman,219572,13.8,54.5,0,0,48.8,29.7,1.5,50.9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
6,0.034573428332806,0.0,2167156,83,0.0,4928,8,472,shot,0,joao-pedro,975079,14.0,37.1,0,0,51.6,19.0,11.9,38.8,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
7,0.019342666491866,0.2494,2167146,81,0.0,4826,10,574,shot,regular,pascal-gross,48480,21.4,65.0,0,0,53.0,4.4,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
8,0.033726591616869,0.0644,2167135,80,0.0,4784,11,616,shot,0,evan-ferguson,999231,26.1,59.0,0,0,48.3,3.8,1.9,51.6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
9,0.070558235049248,0.0352,2167122,79,0.0,4682,12,718,shot,0,pascal-gross,48480,20.0,60.9,0,0,51.0,15.2,1.5,52.3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
10,0.41414549946785,0.0,2167065,71,0.0,4247,20,1153,shot,0,michail-antonio,47772,7.5,44.5,0,0,47.4,61.1,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
11,0.045519322156906,0.1118,2167036,68,0.0,4020,23,1380,shot,0,james-ward-prowse,161717,23.2,44.3,0,0,52.8,13.9,1.4,49.3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
12,0.031954407691956,0.0894,2167028,66,0.0,3957,25,1443,shot,0,lewis-dunk,115365,7.5,41.9,0,0,48.1,15.2,0.59999999999999,50.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
13,0.029794976115227,0.2533,2167025,66,0.0,3935,25,1465,shot,0,pascal-gross,48480,22.9,63.9,0,0,46.1,1.9,1.6,51.1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
14,0.080276504158974,0.5784,2167009,63,0.0,3770,28,1630,shot,regular,michail-antonio,47772,10.6,59.3,0,0,53.5,1.3,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
15,0.022793378680944,0.0,2167007,62,0.0,3697,29,1703,shot,0,evan-ferguson,999231,22.8,61.2,0,0,49.8,19.0,19.4,59.6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
16,0.58420771360397,0.9843,2166979,58,0.0,3466,33,1934,shot,regular,jarrod-bowen,552884,6.1,55.3,0,0,54.0,0.6,0.0,0.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
17,0.036398440599442,0.0242,2166949,57,0.0,3416,34,1984,shot,0,lucas-paqueta,839981,19.0,39.2,0,0,50.4,19.0,1.9,48.7,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
18,0.031976845115423,0.0,2166950,56,0.0,3347,35,2053,shot,0,emerson-palmieri,155997,7.6,28.5,0,0,53.6,39.9,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
19,0.093523889780045,0.0,2166911,53,0.0,3155,38,2245,shot,0,jarrod-bowen,552884,12.5,55.6,0,0,60.0,16.7,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
20,0.026530295610428,0.0,2166886,52,0.0,3062,39,2338,shot,0,pascal-gross,48480,22.2,43.1,0,0,50.5,19.0,16.4,44.8,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
21,0.037946093827486,0.0,2166857,49,0.0,2894,42,2506,shot,0,mitoma-kaoru,936849,3.6,67.0,0,0,45.2,70.8,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
22,0.038438811898232,0.0,2166852,48,0.0,2858,43,2542,shot,0,danny-welbeck,33902,22.6,51.8,0,0,51.6,19.0,17.9,51.1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
23,0.13172510266304,0.6998,2166834,46,0.0,2755,45,2645,shot,0,evan-ferguson,999231,7.5,54.2,0,0,46.0,15.2,0.90000000000001,50.5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
24,0.11848549544811,0.0,2166675,45,2.0,2819,1,2581,shot,0,solly-march,301288,21.9,51.6,0,0,52.0,19.0,11.0,49.8,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
25,0.024121278896928,0.0399,2166615,41,0.0,2402,5,298,shot,0,pascal-gross,48480,23.8,70.8,0,0,50.8,2.5,1.4,50.9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
26,0.11345303058624,0.0,2166553,29,0.0,1712,17,988,shot,0,evan-ferguson,999231,9.8,45.2,0,0,50.9,79.2,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
27,0.15597902238369,0.0,2166549,29,0.0,1696,17,1004,shot,0,gilmour-billy,907668,14.3,47.6,0,0,49.4,19.0,9.8,48.6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
