,xg,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,xgot,addedTime,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_penalty,shot_sit_regular,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.03648117557168,2156405,81,4851,10,549,shot,0,0.0,0.0,arnaut-danjuma,827064,10.6,30.8,0,0,52.5,19.0,8.4,34.3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1,0.015882330015302,2156399,80,4771,11,629,shot,0,0.0,0.0,philippe-coutinho,119159,31.7,31.9,0,0,41.7,70.8,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,0.54523730278015,2156380,75,4460,16,940,shot,regular,0.7161,0.0,jhon-duran,974577,13.8,46.6,0,0,47.6,1.3,0.0,0.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
3,0.051183421164751,2156342,67,3991,24,1409,shot,0,0.0243,0.0,philippe-coutinho,119159,24.0,45.4,0,0,50.4,4.4,2.3,50.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
4,0.096993535757065,2156314,60,3548,31,1852,shot,0,0.1173,0.0,neal-maupay,268903,9.0,40.2,0,0,52.9,14.6,1.6,47.1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
5,0.02566334977746,2156313,59,3516,32,1884,shot,0,0.0,0.0,patterson-nathan,1020141,22.6,66.3,0,0,53.3,5.6,12.8,57.6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
6,0.33810618519783,2156301,56,3355,35,2045,shot,0,0.0,0.0,ollie-watkins,555386,8.8,65.6,0,0,58.2,5.6,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
7,0.20749241113663,2156288,53,3173,38,2227,shot,0,0.0,0.0,james-tarkowski,145188,4.4,54.0,0,0,51.6,80.6,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
8,0.027390027418733,2156287,53,3140,38,2260,shot,0,0.0,0.0,arnaut-danjuma,827064,19.0,32.3,0,0,50.9,19.0,15.5,35.4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
9,0.016410565003753,2156284,53,3130,38,2270,shot,0,0.0,0.0,arnaut-danjuma,827064,17.2,28.2,0,0,50.4,19.0,15.8,30.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
10,0.210374802351,2156285,51,3039,40,2361,shot,regular,0.0606,0.0,leon-bailey,808590,10.7,44.1,0,0,51.0,8.2,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
11,0.028120448812842,2156273,50,2982,41,2418,shot,0,0.0,0.0,boubacar-kamara,826204,22.1,63.7,0,0,49.7,19.0,15.3,59.6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
12,0.10263994336128,2156186,45,2739,1,2661,shot,0,0.0839,1.0,arnaut-danjuma,827064,3.1,66.5,0,0,47.8,2.5,1.5,57.6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
13,0.17420774698257,2156154,34,1987,12,713,shot,0,0.3138,0.0,diaby-moussa,855817,12.2,53.4,0,0,46.2,19.0,1.8,51.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
14,0.082929901778698,2156138,27,1613,19,1087,shot,0,0.0472,0.0,diaby-moussa,855817,15.3,53.4,0,0,49.3,8.2,1.5,51.6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
15,0.7884,2156127,24,1438,22,1262,shot,penalty,0.9939,0.0,douglas-luiz,867887,11.5,50.0,0,0,45.8,6.3,0.0,0.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
16,0.10814739018679,2156120,22,1307,24,1393,shot,0,0.0,0.0,leon-bailey,808590,8.1,47.8,0,0,39.2,12.5,4.2,54.5,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
17,0.026226356625557,2156106,20,1173,26,1527,shot,0,0.0,0.0,james-garner,927361,12.0,58.1,0,0,67.9,6.9,6.7,49.5,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
18,0.086441054940224,2156107,20,1149,26,1551,shot,0,0.0,0.0,abdoulaye-doucoure,96535,9.0,54.8,0,0,69.1,4.2,6.7,48.2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
19,0.5710124373436,2156097,18,1028,28,1672,shot,regular,0.9186,0.0,john-mcginn,250223,3.7,53.4,0,0,51.3,18.4,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
20,0.066953293979168,2156045,9,509,37,2191,shot,0,0.0,0.0,diaby-moussa,855817,18.4,45.2,0,0,52.9,87.5,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
21,0.020119864493608,2156012,1,19,45,2681,shot,0,0.0,0.0,lucas-digne,96538,8.9,29.6,0,0,50.9,19.0,8.0,31.6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
