,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot
0,0.051275420933962,2152905,90,4.0,5619,1,681,shot,0.0,0,hugo-bueno,1013928,13.4,40.3,0,0,51.9,19.0,11.6,41.3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
1,0.092132940888405,2152864,90,4.0,5618,1,682,shot,0.0,0,hugo-bueno,1013928,14.0,38.0,0,0,50.4,19.0,9.6,41.7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2,0.024918949231505,2152827,90,0.0,5390,1,10,shot,0.0,0,nelson-semedo,252821,23.4,45.7,0,0,1.3,34.7,14.5,58.3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
3,0.025767728686333,2152746,85,0.0,5081,6,319,shot,0.0218,0,solly-march,301288,18.9,70.2,0,0,49.7,5.7,1.8,52.9,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
4,0.022510958835483,2152728,84,0.0,4988,7,412,shot,0.0,0,solly-march,301288,22.1,66.4,0,0,50.5,19.0,18.1,63.4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
5,0.024101162329316,2152722,83,0.0,4957,8,443,shot,0.0,0,pervis-estupinan,805465,2.7,33.9,0,0,56.8,5.6,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6,0.016155691817403,2152624,75,0.0,4476,16,924,shot,0.0185,0,pablo-sarabia,138573,15.4,73.4,0,0,49.7,6.3,1.8,52.7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7,0.086296550929546,2152619,75,0.0,4443,16,957,shot,0.0,0,pedro-neto,879349,12.7,53.8,0,0,50.0,19.0,10.9,53.2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
8,0.087580397725105,2152550,68,0.0,4025,23,1375,shot,0.0,0,evan-ferguson,999231,8.4,48.0,0,0,71.6,8.3,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
9,0.16070820391178,2152545,68,0.0,4020,23,1380,shot,0.0,0,joao-pedro,975079,9.5,39.8,0,0,48.8,19.0,7.5,42.2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
