,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.01221823412925,0.0705,2139031,90,7.0,5765,1,535,shot,0,michael-keane,110846,14.7,54.9,0,0,51.9,15.2,3.8,51.3,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
1,0.028551796451211,0.0,2139017,90,5.0,5693,1,607,shot,0,abdoulaye-doucoure,96535,10.1,58.2,0,0,41.5,19.4,1.5,57.6,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
2,0.040659192949533,0.0,2138947,90,0.0,5380,1,20,shot,0,james-tarkowski,145188,8.5,41.7,0,0,43.0,5.6,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3,0.04300095513463,0.0,2138946,90,0.0,5344,1,56,shot,0,idrissa-gueye,106337,18.1,46.0,0,0,50.1,19.0,12.1,47.3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
4,0.10054416209459,0.0,2138925,88,0.0,5273,3,127,shot,0,aleksandar-mitrovic,192144,10.3,50.5,0,0,51.2,19.0,8.4,50.2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
5,0.061755236238241,0.1356,2138906,87,0.0,5213,4,187,shot,0,aleksandar-mitrovic,192144,7.3,35.6,0,0,52.6,2.5,1.8,46.2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
6,0.030557800084352,0.0368,2138855,85,0.0,5078,6,322,shot,0,michael-keane,110846,9.1,56.9,0,0,50.7,19.0,1.8,51.4,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
7,0.15035475790501,0.3465,2138856,85,0.0,5050,6,350,shot,0,alex-iwobi,352770,3.6,57.2,0,0,45.8,12.7,0.7,53.2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
8,0.2931977212429,0.0,2138725,77,0.0,4605,14,795,shot,0,bobby-decordova-reid,151499,4.8,42.9,0,0,49.6,69.4,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
9,0.72140556573868,0.9821,2138668,73,0.0,4339,18,1061,shot,regular,bobby-decordova-reid,151499,2.5,46.8,0,0,52.3,1.9,0.0,0.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
