,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.03171630948782,2164683,90,7.0,5817,1,483,shot,0.0,0,jaidon-anthony,1020680,24.4,55.3,0,0,48.4,77.8,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,0.035212993621826,2164681,90,6.0,5737,1,563,shot,0.0,0,ivan-perisic,38710,7.9,29.8,0,0,42.2,2.8,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2,0.12936978042126,2164676,90,5.0,5682,1,618,shot,0.0,0,ben-davies,94758,15.2,46.7,0,0,53.6,61.1,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3,0.013257272541523,2164661,90,1.0,5417,1,883,shot,0.0,0,pedro-porro,913654,25.9,42.8,0,0,62.2,8.3,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
4,0.049054827541113,2164656,90,1.0,5415,1,885,shot,0.0,0,pedro-porro,913654,26.2,42.2,0,0,49.2,19.0,15.1,45.8,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
5,0.065041095018387,2164648,87,0.0,5198,4,202,shot,0.0,0,dominic-solanke,361420,10.6,52.1,0,0,63.0,15.3,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
6,0.029720578342676,2164641,86,0.0,5124,5,276,shot,0.0,0,heung-min-son,111505,21.4,64.3,0,0,59.3,79.2,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
7,0.02569442242384,2164638,85,0.0,5056,6,344,shot,0.0,0,lewis-cook,548188,20.2,39.2,0,0,60.2,16.7,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
8,0.024956544861197,2164630,84,0.0,4983,7,417,shot,0.0,0,pedro-porro,913654,19.7,62.7,0,0,48.1,19.0,17.0,61.2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
9,0.10539431869984,2164598,70,0.0,4146,21,1254,shot,0.0,0,james-maddison,356398,13.3,65.7,0,0,59.2,6.9,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
10,0.036585211753845,2164592,67,0.0,3970,24,1430,shot,0.0295,0,jaidon-anthony,1020680,18.2,33.2,0,0,49.9,0.6,1.6,49.1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
11,0.32869210839272,2164583,63,0.0,3759,28,1641,shot,0.9702,regular,dejan-kulusevski,928124,3.7,43.7,0,0,46.4,8.9,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
12,0.040163964033127,2164565,57,0.0,3399,34,2001,shot,0.0,0,antoine-semenyo,934354,21.8,38.2,0,0,57.1,36.1,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
13,0.16410724818707,2164499,45,5.0,2999,1,2401,shot,0.0,0,philip-billing,548660,13.4,58.9,0,0,58.5,12.5,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
14,0.030033690854907,2164500,45,5.0,2997,1,2403,shot,0.0,0,justin-kluivert,851596,13.0,27.4,0,0,49.6,19.0,9.8,33.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
15,0.047127414494753,2164482,45,2.0,2801,1,2599,shot,0.0911,0,yves-bissouma,844842,15.0,44.5,0,0,50.5,36.1,2.0,50.9,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
16,0.021043334156275,2164468,41,0.0,2432,5,268,shot,0.1567,0,ryan-christie,322391,19.7,34.2,0,0,47.7,21.5,1.5,48.7,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
17,0.054804980754852,2164463,40,0.0,2380,6,320,shot,0.0,0,richarlison,840217,1.8,59.8,0,0,42.9,8.3,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
