,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,xgot,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_regular,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.026292135939002,2178948,90,6.0,5722,1,578,shot,0,0.0,ogbene-chiedozie,849309,8.4,31.0,0,0,51.4,19.0,7.6,32.7,0,1,0,0,0,1,1,0,0,0,0,1,0
1,0.12070759385824,2178941,90,2.0,5486,1,814,shot,regular,0.7561,mads-juel-andersen,841005,7.3,52.4,0,0,53.6,9.5,0.0,0.0,0,1,0,0,0,1,0,1,0,0,1,0,0
2,0.19898492097855,2178931,85,0.0,5045,6,355,shot,regular,0.3839,kurt-zouma,139227,7.0,51.0,0,0,46.3,19.6,0.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0
3,0.12521997094154,2178929,83,0.0,4955,8,445,shot,0,0.0,carlton-morris,358222,7.8,53.0,0,0,51.1,84.7,0.0,0.0,0,0,0,1,0,1,0,0,1,0,0,0,1
4,0.024573063477874,2178862,63,0.0,3746,28,1654,shot,0,0.0292,said-benrahma,354808,12.5,31.0,0,0,50.9,5.1,1.6,46.9,0,0,1,0,1,0,0,0,0,1,0,0,1
5,0.072176396846771,2178856,61,0.0,3641,30,1759,shot,0,0.0,reece-burke,372342,7.9,53.2,0,0,52.9,59.7,0.0,0.0,0,0,1,0,0,1,0,0,1,0,1,0,0
6,0.042106676846743,2178855,61,0.0,3616,30,1784,shot,0,0.0,reece-burke,372342,7.4,40.6,0,0,52.9,19.0,6.6,41.3,0,0,1,0,0,1,1,0,0,0,0,0,1
7,0.14868932962418,2178864,57,0.0,3408,34,1992,shot,0,0.0,adebayo-elijah,920542,2.0,57.4,0,0,41.5,4.2,0.0,0.0,0,0,0,1,0,1,0,0,1,0,0,0,1
8,0.20127293467522,2178842,57,0.0,3407,34,1993,shot,0,0.0,adebayo-elijah,920542,4.6,55.0,0,0,47.5,19.0,3.7,54.5,0,1,0,0,0,1,1,0,0,0,0,0,1
9,0.094247959554195,2178838,54,0.0,3238,37,2162,shot,0,0.0,said-benrahma,354808,9.9,44.3,0,0,51.9,19.0,3.1,46.9,0,0,0,1,1,0,1,0,0,0,0,0,1
10,0.014644189737737,2178826,53,0.0,3150,38,2250,shot,0,0.0,alfie-doughty,945792,22.4,66.8,0,0,51.4,19.0,13.1,59.2,0,1,0,0,0,1,1,0,0,0,0,1,0
11,0.17809976637363,2178651,44,0.0,2596,2,104,shot,0,0.0,tahith-chong,825845,2.6,42.3,0,0,57.6,15.3,0.0,0.0,0,0,1,0,0,1,0,0,1,0,0,1,0
12,0.14743822813034,2178649,44,0.0,2595,2,105,shot,0,0.0,reece-burke,372342,6.6,51.8,0,0,59.5,13.9,1.5,43.7,0,0,1,0,0,1,0,0,1,0,1,0,0
13,0.039371635764837,2178631,41,0.0,2422,5,278,shot,0,0.0,carlton-morris,358222,7.0,38.6,0,0,47.4,58.3,0.0,0.0,0,1,0,0,0,1,0,0,1,0,1,0,0
14,0.081298567354679,2178639,39,0.0,2306,7,394,shot,0,0.0,adebayo-elijah,920542,13.0,35.4,0,0,39.7,95.8,0.0,0.0,0,0,0,1,0,1,0,0,1,0,0,0,1
15,0.43722447752953,2178613,37,0.0,2199,9,501,shot,regular,0.9057,jarrod-bowen,552884,4.8,54.4,0,0,46.1,8.9,0.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0
16,0.075202114880085,2178595,36,0.0,2130,10,570,shot,0,0.0,said-benrahma,354808,17.6,62.4,0,0,61.7,36.1,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0
17,0.1386903822422,2178601,36,0.0,2126,10,574,shot,0,0.0,edson-alvarez,847151,16.3,49.5,0,0,50.6,19.0,11.1,49.5,0,0,0,1,1,0,1,0,0,0,0,0,1
18,0.0074322973378003,2178538,29,0.0,1698,17,1002,shot,0,0.0,said-benrahma,354808,22.9,35.5,0,0,71.9,13.9,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,1
19,0.030977841466665,2178509,26,0.0,1507,20,1193,shot,0,0.0,jarrod-bowen,552884,20.2,68.4,0,0,42.9,15.3,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0
20,0.087007656693459,2178496,24,0.0,1380,22,1320,shot,0,0.0,mads-juel-andersen,841005,6.8,54.2,0,0,37.5,18.1,0.0,0.0,0,0,1,0,0,1,0,0,1,0,1,0,0
21,0.11507108062506,2178422,15,0.0,859,31,1841,shot,0,0.0,ross-barkley,98435,13.2,41.5,0,0,35.8,1.4,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0
22,0.026002110913396,2178420,14,0.0,796,32,1904,shot,0,0.0,tahith-chong,825845,26.6,36.5,0,0,48.0,19.0,14.0,43.9,0,1,0,0,0,1,1,0,0,0,0,1,0
23,0.026456519961357,2178396,13,0.0,723,33,1977,shot,0,0.0,said-benrahma,354808,12.2,26.8,0,0,59.0,2.8,0.0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,1
24,0.041497003287077,2178312,2,0.0,91,44,2609,shot,0,0.0,ross-barkley,98435,18.4,47.3,0,0,63.4,6.9,0.0,0.0,0,0,0,1,0,1,0,0,1,0,0,0,1
