,xg,xgot,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_fast-break,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_left-foot,bodyPart_right-foot
0,0.14595720171928,0.6361,2154691,89,5327,2,73,shot,0,phil-foden,859765,8.6,65.6,0,0,53.8,1.9,2.5,54.3,0,0,1,0,0,1,0,0,0,1,0,1
1,0.072949178516865,0.0,2154688,88,5257,3,143,shot,0,phil-foden,859765,12.7,57.7,0,0,49.8,19.0,11.0,56.7,0,1,0,0,0,1,1,0,0,0,1,0
2,0.031771827489138,0.0,2154643,78,4659,13,741,shot,0,miguel-almiron,333373,19.6,67.8,0,0,48.7,19.0,15.4,64.3,0,1,0,0,1,0,1,0,0,0,1,0
3,0.025164246559143,0.1101,2154596,70,4176,21,1224,shot,0,harvey-barnes,855647,24.6,29.5,0,0,47.4,10.8,1.6,47.3,0,1,0,0,1,0,0,0,0,1,0,1
4,0.07407058775425,0.0,2154574,66,3919,25,1481,shot,0,bruno-guimaraes,866469,19.4,63.5,0,0,61.7,2.8,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1
5,0.098594352602959,0.0374,2154565,65,3844,26,1556,shot,0,erling-haaland,839956,10.0,65.3,0,0,49.4,1.9,1.1,53.8,0,1,0,0,0,1,0,0,0,1,0,1
6,0.17139573395252,0.0,2154558,63,3759,28,1641,shot,0,erling-haaland,839956,13.0,47.0,0,0,43.4,5.6,0.0,0.0,0,1,0,0,0,1,0,0,1,0,1,0
7,0.07024335116148,0.1089,2154454,50,2943,41,2457,shot,0,erling-haaland,839956,13.6,41.3,0,0,52.7,15.2,1.2,47.5,0,1,0,0,0,1,0,0,0,1,1,0
8,0.054129295051098,0.0,2154447,49,2909,42,2491,shot,0,gordon-anthony,914902,9.5,32.6,0,0,63.5,73.6,0.0,0.0,0,1,0,0,1,0,0,0,1,0,1,0
9,0.03417956829071,0.0,2154441,48,2848,43,2552,shot,0,gordon-anthony,914902,14.7,29.7,0,0,50.0,19.0,11.2,34.5,0,1,0,0,1,0,1,0,0,0,0,1
10,0.079133883118629,0.0,2154263,41,2445,5,255,shot,0,erling-haaland,839956,13.8,38.0,0,0,43.5,1.4,0.0,0.0,0,1,0,0,0,1,0,0,1,0,1,0
11,0.039103161543608,0.0,2154238,38,2236,8,464,shot,0,jack-grealish,189061,12.7,31.7,0,0,51.3,19.0,9.7,35.7,0,1,0,0,0,1,1,0,0,0,0,1
12,0.030355496332049,0.0,2154233,37,2184,9,516,shot,0,miguel-almiron,333373,14.0,71.5,0,0,51.1,19.0,12.5,69.1,0,1,0,0,1,0,1,0,0,0,1,0
13,0.029769327491522,0.0,2154227,35,2051,11,649,shot,0,mateo-kovacic,136710,25.0,56.8,0,0,50.4,19.0,13.3,53.4,0,0,0,1,0,1,1,0,0,0,0,1
14,0.10713060200214,0.5613,2154197,31,1817,15,883,shot,regular,julian-alvarez,944656,14.4,64.8,0,0,54.1,21.5,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1
15,0.054068386554718,0.0,2154190,30,1741,16,959,shot,0,phil-foden,859765,19.1,36.1,0,0,53.1,19.0,15.3,38.3,0,1,0,0,0,1,1,0,0,0,1,0
16,0.066219672560692,0.0,2154186,29,1728,17,972,shot,0,mateo-kovacic,136710,18.9,46.6,0,0,50.7,19.0,14.1,47.3,0,1,0,0,0,1,1,0,0,0,1,0
17,0.020049549639225,0.0,2154185,29,1721,17,979,shot,0,jack-grealish,189061,14.0,30.6,0,0,46.1,19.0,12.5,33.0,0,1,0,0,0,1,1,0,0,0,0,1
18,0.040460012853146,0.0,2154134,21,1224,25,1476,shot,0,joelinton,560128,16.4,62.0,0,0,47.5,19.0,8.8,57.6,0,1,0,0,1,0,1,0,0,0,0,1
19,0.026323242112994,0.0,2154080,14,795,32,1905,shot,0,manuel-akanji,383560,23.4,60.6,0,0,57.8,65.3,0.0,0.0,0,1,0,0,0,1,0,0,1,0,1,0
20,0.026941884309053,0.0,2154052,9,527,37,2173,shot,0,jack-grealish,189061,9.2,27.6,0,0,53.1,19.0,7.5,31.2,0,1,0,0,0,1,1,0,0,0,0,1
