,xg,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,addedTime,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.087950482964516,2142713,89,5307,2,93,shot,0.0,0.0,0,richarlison,840217,12.8,45.6,0,0,46.2,18.1,11.4,46.7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,0.34875237941742,2142699,87,5178,4,222,shot,0.0,0.0,0,kevin-schade,1006387,13.2,71.1,0,0,38.0,76.4,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,0.030595133081079,2142702,86,5152,5,248,shot,0.0,0.0,0,mads-roerslev,826057,19.5,45.2,0,0,51.9,19.0,17.6,45.5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
3,0.087449349462986,2142679,83,4957,8,443,shot,0.0378,0.0,0,pape-matar-sarr,1002711,8.1,52.8,0,0,50.2,24.7,1.1,50.7,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
4,0.085639134049416,2142571,64,3804,27,1596,shot,0.0626,0.0,0,richarlison,840217,8.5,65.5,0,0,51.3,15.2,2.5,55.1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
5,0.020226502791047,2142557,61,3649,30,1751,shot,0.0,0.0,0,james-maddison,356398,18.7,65.4,0,0,47.8,19.0,17.3,64.4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
6,0.01603158377111,2142549,60,3576,31,1824,shot,0.0,0.0,0,micky-van-de-ven,998247,13.1,28.7,0,0,51.1,81.9,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
7,0.075597204267979,2142551,60,3568,31,1832,shot,0.1274,0.0,0,heung-min-son,111505,8.6,34.9,0,0,52.9,3.2,1.0,46.9,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
8,0.016494827345014,2142553,60,3566,31,1834,shot,0.0,0.0,0,dejan-kulusevski,928124,19.7,74.2,0,0,51.4,19.0,15.5,68.8,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
9,0.074569314718246,2142544,58,3431,33,1969,shot,0.1155,0.0,0,damsgaard-mikkel,907072,14.5,51.0,0,0,52.6,13.3,3.3,50.5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
