,xg,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_regular,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.33457246422768,2170506,88,5274,3,126,shot,0.0,0,jay-rodriguez,26989,7.7,50.7,0,0,60.8,15.3,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1,0.11716587841511,2170479,85,5071,6,329,shot,0.0,0,jay-rodriguez,26989,17.5,58.0,0,0,58.8,63.9,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
2,0.02911582402885,2170462,82,4889,9,511,shot,0.0,0,nicolo-zaniolo,864898,22.2,62.9,0,0,46.7,58.3,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3,0.03493520244956,2170453,80,4798,11,602,shot,0.0,0,matty-cash,833956,10.5,70.1,0,0,51.7,19.0,8.6,66.2,0,1,0,0,0,1,0,1,0,0,0,0,0,1
4,0.072628416121006,2170446,79,4715,12,685,shot,0.0,0,ollie-watkins,555386,18.3,56.3,0,0,49.8,19.0,15.7,55.4,0,1,0,0,0,1,0,1,0,0,0,0,0,1
5,0.012428554706275,2170418,76,4513,15,887,shot,0.0,0,matty-cash,833956,12.4,68.4,0,0,52.5,19.0,9.8,64.6,0,0,1,0,0,1,0,1,0,0,0,0,1,0
6,0.18874850869179,2170414,75,4457,16,943,shot,0.0,0,nicolo-zaniolo,864898,10.0,55.3,0,0,49.6,19.0,8.8,54.7,0,0,0,1,0,1,0,1,0,0,0,0,1,0
7,0.02410095743835,2170390,68,4032,23,1368,shot,0.0,0,luca-koleosho,1216282,15.2,25.6,0,0,0.3,2.8,9.7,99.8,0,1,0,0,0,0,1,0,0,1,0,0,0,1
8,0.36855491995811,2170386,67,3990,24,1410,shot,0.8555,0,ollie-watkins,555386,6.3,47.4,0,0,53.2,2.5,1.5,50.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
9,0.079010121524334,2170355,61,3627,30,1773,shot,0.4166,regular,diaby-moussa,855817,17.8,47.0,0,0,46.0,3.8,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
10,0.020621027797461,2170352,60,3583,31,1817,shot,0.0,0,matty-cash,833956,20.5,69.9,0,0,47.9,19.0,17.3,67.2,0,1,0,0,0,1,0,1,0,0,0,0,0,1
11,0.018887385725975,2170349,59,3503,32,1897,shot,0.0785,0,hannes-delcroix,826169,13.2,53.8,0,0,52.4,12.0,1.6,50.9,0,0,1,0,0,0,1,0,0,0,1,1,0,0
12,0.043564759194851,2170298,50,2995,41,2405,shot,0.0,0,hannes-delcroix,826169,11.1,44.2,0,0,45.0,73.6,0.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
13,0.12525442242622,2170282,47,2788,44,2612,shot,0.3809,regular,foster-lyle,901907,8.7,56.9,0,0,53.0,20.3,0.0,0.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
14,0.025530450046062,2170285,47,2775,44,2625,shot,0.0,0,zeki-amdouni,990550,13.8,28.7,0,0,54.0,19.0,11.5,31.6,0,1,0,0,0,0,1,1,0,0,0,0,0,1
15,0.025591878220439,2170227,43,2555,3,145,shot,0.0,0,zeki-amdouni,990550,23.9,61.5,0,0,51.3,58.3,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
16,0.16777692735195,2170209,37,2217,9,483,shot,0.8651,0,ollie-watkins,555386,4.6,55.7,0,0,47.2,10.1,1.1,52.5,0,0,0,0,1,1,0,0,0,0,1,0,0,1
17,0.096645995974541,2170198,36,2141,10,559,shot,0.0,0,ollie-watkins,555386,3.0,58.9,0,0,44.7,80.6,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
18,0.035617932677269,2170196,35,2092,11,608,shot,0.0603,0,matty-cash,833956,15.3,56.7,0,0,49.9,34.2,1.1,50.9,0,1,0,0,0,1,0,0,0,0,1,0,1,0
19,0.10249421745539,2170147,24,1397,22,1303,shot,0.0,0,diego-carlos,604232,6.8,46.0,0,0,52.4,77.8,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
20,0.29430392384529,2170139,20,1161,26,1539,shot,0.6519,regular,matty-cash,833956,9.8,55.1,0,0,46.5,15.8,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
21,0.014760775491595,2170099,10,569,36,2131,shot,0.0,0,luca-koleosho,1216282,23.7,34.1,0,0,42.5,69.4,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
22,0.89527368545532,2170095,8,441,38,2259,shot,0.9893,regular,matty-cash,833956,1.7,54.2,0,0,45.9,7.6,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
23,0.20903690159321,2170107,8,440,38,2260,shot,0.0,0,ollie-watkins,555386,3.4,33.4,0,0,38.2,15.3,1.8,55.1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
24,0.088130615651608,2170087,6,332,40,2368,shot,0.0,0,diaby-moussa,855817,12.8,64.7,0,0,50.8,19.0,7.2,57.9,0,0,0,1,0,1,0,1,0,0,0,0,1,0
