,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.2927018404007,0.473,2179880,90,9.0,5894,1,406,shot,0,oliver-mcburnie,367228,4.0,47.8,0,0,51.9,12.0,1.4,48.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1,0.10848984122276,0.1385,2179878,90,9.0,5892,1,408,shot,0,oliver-mcburnie,367228,7.9,51.5,0,0,51.7,24.7,0.5,50.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2,0.037751346826553,0.0,2179873,90,6.0,5736,1,564,shot,0,dwight-mcneil,935543,25.4,58.3,0,0,50.5,19.0,20.2,56.5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
3,0.077595144510269,0.0,2179859,90,0.0,5344,1,56,shot,0,jack-robinson,98454,13.2,46.2,0,0,49.7,19.0,9.7,47.3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
4,0.072852462530136,0.1039,2179832,80,0.0,4746,11,654,shot,0,ashley-young,10589,25.1,45.8,0,0,52.0,18.4,1.2,50.9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
5,0.031744278967381,0.0,2179826,76,0.0,4540,15,860,shot,0,jack-robinson,98454,13.7,30.3,0,0,47.1,76.4,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
6,0.13464826345444,0.0,2179819,71,0.0,4204,20,1196,shot,0,gustavo-hamer,837495,12.6,38.2,0,0,53.4,19.0,3.3,44.4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
7,0.1645567715168,0.693,2179815,71,0.0,4202,20,1198,shot,0,luke-thomas,991584,2.6,40.8,0,0,52.6,5.1,1.2,43.9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
8,0.088939256966114,0.0,2179779,58,0.0,3466,33,1934,shot,0,larouci-yasser,927360,10.0,36.9,0,0,52.9,56.9,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
9,0.0435258038342,0.0219,2179770,56,0.0,3340,35,2060,shot,0,abdoulaye-doucoure,96535,17.7,69.9,0,0,50.0,1.9,2.0,52.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
10,0.69640642404556,0.9726,2179765,55,0.0,3243,36,2157,shot,regular,arnaut-danjuma,827064,2.7,46.6,0,0,53.0,24.7,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
11,0.035048451274633,0.0,2179757,53,0.0,3171,38,2229,shot,0,beto,987489,8.0,57.9,0,0,72.9,2.8,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
12,0.084483258426189,0.0,2179754,51,0.0,3010,40,2390,shot,0,arnaut-danjuma,827064,19.3,34.2,0,0,51.9,19.0,12.9,38.8,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
13,0.14192327857018,0.0,2179739,46,0.0,2712,45,2688,shot,0,beto,987489,15.0,36.8,0,0,32.6,2.8,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
14,0.0,0.0,2179694,45,3.0,2851,1,2549,shot,own,jordan-pickford,138530,3.1,51.5,0,0,47.3,24.7,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
15,0.057285718619823,0.0,2179693,45,3.0,2849,1,2551,shot,0,cameron-archer,993451,19.7,40.0,0,0,44.8,8.9,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
16,0.15429866313934,0.6933,2179681,44,0.0,2623,2,77,shot,0,arnaut-danjuma,827064,3.0,40.7,0,0,48.5,1.9,2.3,42.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
17,0.042096361517906,0.0,2179662,35,0.0,2094,11,606,shot,0,beto,987489,0.8,33.8,0,0,54.6,19.0,0.5,38.6,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
18,0.11764998733997,0.2685,2179661,33,0.0,1971,13,729,shot,regular,cameron-archer,993451,13.8,50.5,0,0,46.4,14.6,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
19,0.04874823987484,0.0,2179654,31,0.0,1811,15,889,shot,0,abdoulaye-doucoure,96535,21.5,55.0,0,0,49.5,19.0,17.5,54.2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
20,0.039374846965075,0.0,2179651,29,0.0,1712,17,988,shot,0,arnaut-danjuma,827064,8.4,32.2,0,0,62.5,13.9,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
21,0.076650939881802,0.2475,2179628,21,0.0,1204,25,1496,shot,0,gustavo-hamer,837495,15.0,63.1,0,0,46.4,2.5,2.0,52.7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
22,0.019135624170303,0.0379,2179622,20,0.0,1156,26,1544,shot,0,larouci-yasser,927360,12.5,27.8,0,0,51.6,15.2,1.8,46.9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
23,0.12540602684021,0.0,2179617,18,0.0,1022,28,1678,shot,0,arnaut-danjuma,827064,14.4,45.4,0,0,50.9,19.0,12.7,45.8,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
24,0.90854096412659,0.9877,2179599,14,0.0,828,32,1872,shot,regular,abdoulaye-doucoure,96535,1.7,47.6,0,0,53.8,3.2,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
25,0.7882354259491,0.9011,2179606,14,0.0,826,32,1874,shot,0,abdoulaye-doucoure,96535,3.1,49.9,0,0,52.5,9.5,0.59999999999999,50.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
26,0.046706017106771,0.0,2179602,14,0.0,825,32,1875,shot,0,amadou-onana,923973,8.7,45.2,0,0,45.6,19.0,3.1,50.2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
27,0.042424045503139,0.0,2179595,14,0.0,789,32,1911,shot,0,beto,987489,20.4,41.9,0,0,46.2,19.4,16.6,43.3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
