,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.42326784133911,2166207,90,10.0,5974,1,326,shot,0.0,0,kiwior-jakub,976037,4.2,50.4,0,0,49.8,19.0,3.3,50.4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1,0.14325872063637,2166206,90,10.0,5973,1,327,shot,0.0335,0,gabriel-jesus,794839,5.1,45.5,0,0,50.1,15.8,3.6,46.7,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
2,0.041372459381819,2166197,90,10.0,5944,1,356,shot,0.1695,0,fabio-vieira,904835,15.9,67.1,0,0,47.4,28.5,1.6,52.2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3,0.20504321157932,2166165,90,7.0,5800,1,500,shot,0.059,0,adama-traore,286165,4.8,36.3,0,0,51.0,20.9,2.9,40.8,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
4,0.07012889534235,2166132,90,5.0,5670,1,630,shot,0.0,0,edward-nketiah,858194,9.0,49.5,0,0,99.3,6.9,6.4,18.8,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
5,0.068512655794621,2166115,90,1.0,5425,1,875,shot,0.0,0,edward-nketiah,858194,9.8,33.8,0,0,35.3,6.9,9.3,37.9,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
6,0.023029580712318,2166070,90,1.0,5411,1,889,shot,0.0,0,edward-nketiah,858194,19.1,31.4,0,0,49.7,19.0,13.4,37.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
7,0.10691732913256,2166031,87,0.0,5198,4,202,shot,0.3127,regular,joao-palhinha,364612,9.3,57.2,0,0,53.0,4.4,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
8,0.25190785527229,2165826,72,0.0,4317,19,1083,shot,0.3575,regular,edward-nketiah,858194,9.3,48.5,0,0,48.7,3.8,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
9,0.7884,2165782,70,0.0,4147,21,1253,shot,0.9944,penalty,bukayo-saka,934235,11.5,50.0,0,0,46.2,0.6,0.0,0.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
10,0.046611748635769,2165634,61,0.0,3614,30,1786,shot,0.0,0,martin-odegaard,547410,8.3,68.8,0,0,59.8,70.8,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
11,0.01890217885375,2165611,58,0.0,3470,33,1930,shot,0.0172,0,martin-odegaard,547410,23.6,60.6,0,0,50.0,5.1,1.5,50.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
12,0.03839560970664,2165486,48,0.0,2851,43,2549,shot,0.018,0,bukayo-saka,934235,9.3,69.9,0,0,49.7,15.8,1.5,52.9,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
13,0.032930042594671,2165290,44,0.0,2608,2,92,shot,0.0734,0,martin-odegaard,547410,22.8,66.9,0,0,51.1,26.6,1.9,50.9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
14,0.087890543043613,2165259,40,0.0,2396,6,304,shot,0.0633,0,gabriel-martinelli,922573,12.4,37.5,0,0,51.5,3.8,1.0,48.7,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
15,0.039257314056158,2165147,32,0.0,1893,14,807,shot,0.2074,0,gabriel-martinelli,922573,5.8,30.3,0,0,54.2,1.9,1.1,45.7,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
16,0.5286825299263,2165135,31,0.0,1823,15,877,shot,0.0,0,bukayo-saka,934235,3.5,52.8,0,0,50.4,63.9,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
