,xg,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,xgot,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot
0,0.019257197156549,2138891,89,5286,2,114,shot,0,0.0,antoine-semenyo,934354,27.5,57.3,0,0,50.4,19.0,17.0,54.3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
1,0.064249895513058,2138811,85,5040,6,360,shot,0,0.0,lucas-paqueta,839981,13.5,36.0,0,0,55.2,6.3,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
2,0.12368534505367,2138797,84,4984,7,416,shot,0,0.0,danny-ings,130181,12.0,64.5,0,0,48.0,19.0,7.6,59.9,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
3,0.87120717763901,2138792,82,4898,9,502,shot,regular,0.9686,dominic-solanke,361420,3.5,54.9,0,0,47.7,2.5,0.0,0.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
4,0.054274052381516,2138772,82,4895,9,505,shot,0,0.0,antoine-semenyo,934354,21.7,62.9,0,0,66.7,15.3,14.2,52.3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
5,0.045778561383486,2138700,78,4642,13,758,shot,0,0.0,dominic-solanke,361420,11.7,40.7,0,0,37.6,40.3,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
6,0.039169050753117,2138785,77,4611,14,789,shot,0,0.0,kieffer-moore,298366,11.3,50.6,0,0,45.7,19.0,3.7,53.1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
7,0.023770246654749,2138657,75,4452,16,948,shot,0,0.0,philip-billing,548660,15.7,51.3,0,0,73.3,6.9,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
8,0.03232879191637,2138603,71,4231,20,1169,shot,0,0.0,david-brooks,855731,19.7,65.4,0,0,60.3,72.2,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
9,0.040599334985018,2138599,70,4152,21,1248,shot,0,0.0,jarrod-bowen,552884,6.1,67.8,0,0,50.6,20.8,4.1,63.4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
10,0.028127709403634,2138508,65,3848,26,1552,shot,0,0.0,joe-rothwell,190853,21.5,31.6,0,0,46.8,38.6,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
11,0.044128552079201,2138428,61,3603,30,1797,shot,0,0.0,philip-billing,548660,19.7,72.8,0,0,54.7,19.0,14.6,65.7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
12,0.040072992444038,2138372,56,3349,35,2051,shot,0,0.0,jarrod-bowen,552884,10.9,46.9,0,0,51.8,19.0,9.2,47.1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
13,0.029618414118886,2138371,56,3334,35,2066,shot,0,0.0,lucas-paqueta,839981,14.0,39.8,0,0,36.6,22.2,4.4,52.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
14,0.065245620906353,2138353,55,3267,36,2133,shot,0,0.1588,dominic-solanke,361420,4.2,67.5,0,0,46.0,17.7,0.7,54.7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
15,0.036080591380596,2138306,51,3057,40,2343,shot,regular,0.5125,jarrod-bowen,552884,23.4,54.2,0,0,54.2,25.9,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
16,0.068403840065002,2138275,50,2949,41,2451,shot,0,0.0659,david-brooks,855731,17.9,57.5,0,0,49.4,31.0,1.9,52.3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
17,0.016987571492791,2138027,41,2417,5,283,shot,0,0.1663,david-brooks,855731,27.7,62.9,0,0,46.6,17.7,2.0,51.8,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
18,0.058454368263483,2137965,37,2188,9,512,shot,0,0.1903,said-benrahma,354808,9.5,36.1,0,0,53.0,22.2,1.5,46.6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
19,0.015221823006868,2138135,37,2185,9,515,shot,0,0.0,jarrod-bowen,552884,12.4,50.3,0,0,76.6,13.9,4.7,34.1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
20,0.023445375263691,2137934,35,2082,11,618,shot,0,0.0,said-benrahma,354808,26.5,34.5,0,0,50.9,47.2,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
21,0.086067214608192,2137929,35,2056,11,644,shot,0,0.0,lucas-paqueta,839981,4.1,57.8,0,0,53.4,19.0,1.0,49.3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
22,0.039262987673283,2137852,29,1699,17,1001,shot,0,0.0,pablo-fornals,816763,23.5,41.5,0,0,39.3,11.1,11.5,50.9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
23,0.01771204918623,2137818,26,1522,20,1178,shot,0,0.0445,ryan-christie,322391,23.2,77.7,0,0,48.5,3.2,2.4,52.5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
24,0.031295087188482,2137792,24,1406,22,1294,shot,0,0.0,tomas-soucek,799041,4.4,62.0,0,0,54.3,70.8,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
25,0.34205949306488,2137736,19,1133,27,1567,shot,0,0.0,tomas-soucek,799041,2.8,50.9,0,0,50.8,68.1,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
26,0.062501341104507,2137701,17,1012,29,1688,shot,0,0.0,jarrod-bowen,552884,13.5,58.1,0,0,52.1,18.1,12.0,57.8,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
27,0.046168714761734,2137631,12,697,34,2003,shot,0,0.0,david-brooks,855731,20.6,51.2,0,0,59.3,15.3,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
