,xg,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.024220887571573,2138914,88,5232,3,168,shot,0.0,0,oliver-norwood,100637,21.5,68.0,0,0,49.9,91.7,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
1,0.13389946520329,2138897,86,5147,5,253,shot,0.1446,0,joachim-andersen,362682,4.9,56.3,0,0,51.3,8.2,0.59999999999999,52.3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
2,0.073275938630104,2138844,84,5005,7,395,shot,0.0,0,eberechi-eze,864921,13.3,54.0,0,0,40.0,9.7,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3,0.016206953674555,2138759,80,4748,11,652,shot,0.0,0,jefferson-lerma,355796,32.1,41.5,0,0,58.0,12.5,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
4,0.028913363814354,2138717,76,4521,15,879,shot,0.0239,0,jordan-ayew,103045,5.7,73.2,0,0,49.3,17.1,0.2,54.3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
5,0.21843758225441,2138697,75,4470,16,930,shot,0.0,0,osula-william,1122603,14.2,55.1,0,0,40.5,19.4,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
6,0.1716440320015,2138690,75,4456,16,944,shot,0.0,0,eberechi-eze,864921,14.7,43.1,0,0,48.2,19.0,9.2,46.4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
7,0.020217640325427,2138677,74,4393,17,1007,shot,0.0,0,anel-ahmedhodzic,825899,21.4,70.3,0,0,49.1,19.0,15.4,62.6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
8,0.0610889531672,2138648,72,4302,19,1098,shot,0.0689,0,jeffrey-schlupp,148710,11.1,38.8,0,0,48.4,10.1,2.3,47.8,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
9,0.12331590801477,2138497,62,3703,29,1697,shot,0.0,0,ben-osborn,282665,11.2,63.5,0,0,45.8,19.0,8.0,60.8,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
10,0.17608298361301,2138477,61,3643,30,1757,shot,0.0675,0,odsonne-edouard,795228,6.4,56.7,0,0,50.8,17.7,0.7,52.2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
11,0.013020134530962,2138456,60,3562,31,1838,shot,0.0,0,odsonne-edouard,795228,14.0,48.2,0,0,39.0,27.8,3.5,55.6,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
12,0.032678257673979,2138381,54,3233,37,2167,shot,0.0,0,eberechi-eze,864921,26.6,66.6,0,0,46.5,19.0,17.5,62.1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
13,0.63833898305893,2138317,49,2939,42,2461,shot,0.8129,regular,odsonne-edouard,795228,3.3,49.7,0,0,50.7,12.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
14,0.032324764877558,2138111,45,2662,1,38,shot,0.0,0,eberechi-eze,864921,8.8,23.1,0,0,46.9,66.7,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
15,0.015403334982693,2138098,44,2618,2,82,shot,0.0475,0,oliver-norwood,100637,29.3,46.6,0,0,51.5,17.7,2.3,50.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
16,0.0043851253576577,2138006,39,2305,7,395,shot,0.0,0,eberechi-eze,864921,29.9,37.1,0,0,51.1,19.0,26.0,38.6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
17,0.043529640883207,2137945,34,2033,12,667,shot,0.0,0,anel-ahmedhodzic,825899,8.7,44.5,0,0,59.0,77.8,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
18,0.051962547004223,2137902,32,1866,14,834,shot,0.0,0,odsonne-edouard,795228,2.6,39.5,0,0,53.3,59.7,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
