,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,xgot,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.012129410170019,2166118,90,5.0,5646,1,654,shot,0,0.0,christian-norgaard,135256,25.9,59.7,0,0,50.9,19.0,20.7,57.6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
1,0.08839026838541,2166116,90,5.0,5644,1,656,shot,0,0.0,frank-onyeka,885864,14.0,55.8,0,0,51.2,19.0,10.3,54.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
2,0.04327254742384,2166034,89,0.0,5329,2,71,shot,0,0.0,eberechi-eze,864921,16.8,66.0,0,0,52.3,19.0,10.1,58.7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
3,0.041782222688198,2165969,85,0.0,5096,6,304,shot,0,0.0,vitaly-janelt,814873,7.4,32.4,0,0,50.4,19.0,4.5,39.2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
4,0.12355823814869,2166006,85,0.0,5086,6,314,shot,0,0.0,frank-onyeka,885864,12.9,55.4,0,0,50.4,19.0,9.3,53.8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
5,0.063525795936584,2165902,80,0.0,4745,11,655,shot,0,0.0,jordan-ayew,103045,3.9,67.0,0,0,99.5,1.4,2.8,0.3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
6,0.052567042410374,2165867,76,0.0,4556,15,844,shot,regular,0.0634,joachim-andersen,362682,2.5,65.2,0,0,48.1,2.5,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
7,0.17580486834049,2165861,74,0.0,4435,17,965,shot,0,0.0,ethan-pinnock,855864,3.5,44.0,0,0,53.4,19.0,1.8,45.3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
8,0.078779004514217,2165787,70,0.0,4151,21,1249,shot,0,0.1992,jordan-ayew,103045,2.8,59.8,0,0,46.5,6.3,0.5,53.1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
9,0.055334385484457,2165755,70,0.0,4149,21,1251,shot,0,0.1305,jefferson-lerma,355796,10.2,50.1,0,0,47.6,4.4,1.9,49.6,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
10,0.01392419077456,2165749,69,0.0,4121,22,1279,shot,0,0.0,jordan-ayew,103045,19.6,31.4,0,0,50.2,19.0,18.2,32.7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
11,0.052981223911047,2165738,68,0.0,4075,23,1325,shot,0,0.2911,odsonne-edouard,795228,22.6,65.5,0,0,47.1,29.7,1.1,50.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
12,0.025119809433818,2165596,59,0.0,3487,32,1913,shot,0,0.0,jefferson-lerma,355796,11.9,31.3,0,0,52.5,19.0,8.9,35.4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
13,0.030849911272526,2165555,55,0.0,3291,36,2109,shot,0,0.0,eberechi-eze,864921,23.7,32.6,0,0,0.2,2.8,7.3,100.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
14,0.022403502836823,2165514,52,0.0,3092,39,2308,shot,0,0.0,jordan-ayew,103045,12.9,69.4,0,0,51.6,19.0,11.6,67.3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
15,0.063101932406425,2165484,48,0.0,2852,43,2548,shot,0,0.0,rico-henry,599128,7.0,56.7,0,0,47.1,68.1,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
16,0.059156462550163,2165478,46,0.0,2730,45,2670,shot,0,0.0,kevin-schade,1006387,18.9,34.5,0,0,49.2,19.0,14.7,38.1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
17,0.049582112580538,2165330,45,0.0,2667,1,33,shot,0,0.0,nathan-collins,958916,8.6,45.4,0,0,39.5,30.6,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
18,0.035582445561886,2165311,44,0.0,2612,2,88,shot,0,0.0,bryan-mbeumo,927083,15.3,60.2,0,0,50.9,19.0,12.9,58.5,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
19,0.24014338850975,2165229,39,0.0,2297,7,403,shot,0,0.0,yoane-wissa,805123,4.6,43.7,0,0,53.4,77.8,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
20,0.03338286280632,2165062,25,0.0,1460,21,1240,shot,0,0.0,jeffrey-schlupp,148710,11.7,50.1,0,0,45.7,77.8,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
21,0.2146288305521,2165067,25,0.0,1445,21,1255,shot,0,0.0,eberechi-eze,864921,17.2,52.8,0,0,49.9,19.0,13.2,52.2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
22,0.026389606297016,2165032,22,0.0,1302,24,1398,shot,0,0.0,jordan-ayew,103045,13.7,55.5,0,0,64.0,11.1,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
23,0.045446071773767,2164979,18,0.0,1047,28,1653,shot,regular,0.5559,kevin-schade,1006387,9.1,34.0,0,0,46.1,19.6,0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
24,0.03291018679738,2164920,14,0.0,839,32,1861,shot,0,0.0,yoane-wissa,805123,11.4,55.5,0,0,53.9,66.7,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
25,0.065520323812962,2164907,13,0.0,763,33,1937,shot,0,0.0679,eberechi-eze,864921,23.1,53.2,0,0,51.5,2.5,3.2,50.0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
26,0.027859684079885,2164861,9,0.0,516,37,2184,shot,0,0.0,odsonne-edouard,795228,11.6,32.6,0,0,48.0,19.0,9.9,35.4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
