,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.051603652536869,0.2693,1774118,90,6.0,5722,1,578,shot,,heung-min-son,111505,18.2,55.7,0,0,53.2,3.2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1,0.049084410071373,,1774105,90,2.0,5516,1,784,shot,,eric-dier,146101,10.8,46.6,0,0,52.1,19.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2,0.012400708161294,,1774083,87,,5193,4,207,shot,,pierre-emile-hojbjerg,149593,27.0,46.7,0,0,48.4,19.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
3,0.19936138391495,,1774079,85,,5082,6,318,shot,,ivan-toney,290927,5.1,45.5,0,0,45.5,52.8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
4,0.12381751835346,0.147,1774077,84,,5003,7,397,shot,,harry-kane,108579,7.6,47.3,0,0,48.7,29.7,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
5,0.018247924745083,0.0301,1774068,83,,4920,8,480,shot,,davinson-sanchez,566102,25.9,57.7,0,0,50.6,19.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
6,0.18165671825409,,1774057,79,,4735,12,665,shot,,matt-doherty,143047,5.0,55.0,0,0,34.5,45.8,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
7,0.14011473953724,,1774050,77,,4614,14,786,shot,,harry-kane,108579,8.2,50.9,0,0,83.5,4.2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
8,0.20913776755333,0.4851,1774026,71,,4254,20,1146,shot,regular,pierre-emile-hojbjerg,149593,10.5,54.0,0,0,53.8,21.5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
9,0.10192324966192,,1774019,67,,3961,24,1439,shot,,bryan-mbeumo,927083,12.4,58.4,0,0,43.4,58.3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
10,0.070777490735054,,1774021,65,,3899,26,1501,shot,,ivan-toney,290927,20.7,45.8,0,0,48.6,19.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
11,0.043316274881363,0.4461,1774015,65,,3845,26,1555,shot,regular,harry-kane,108579,11.1,54.6,0,0,53.9,22.8,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
12,0.5537970662117,0.7831,1773995,54,,3195,37,2205,shot,regular,ivan-toney,290927,1.8,46.8,0,0,50.3,5.7,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
13,0.041646268218756,,1773994,54,,3194,37,2206,shot,,christian-norgaard,135256,7.0,61.0,0,0,53.9,19.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
14,0.065052799880505,,1773974,45,2.0,2807,1,2593,shot,,pierre-emile-hojbjerg,149593,19.5,53.1,0,0,48.7,19.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
15,0.023236030712724,,1773968,38,,2220,8,480,shot,,clement-lenglet,580550,21.4,29.7,0,0,52.6,19.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
16,0.044598307460546,0.1079,1773962,34,,2037,12,663,shot,,zanka,26404,3.8,65.8,0,0,47.9,2.5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
17,0.024601390585303,0.4259,1773956,30,,1740,16,960,shot,,heung-min-son,111505,26.4,48.3,0,0,54.5,3.2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
18,0.026962887495756,0.0511,1773952,26,,1533,20,1167,shot,,dejan-kulusevski,928124,8.3,74.1,0,0,50.7,0.6,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
19,0.01899004727602,0.2776,1773951,25,,1444,21,1256,shot,,heung-min-son,111505,26.9,40.3,0,0,46.0,10.8,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
20,0.065282084047794,0.2425,1773942,18,,1035,28,1665,shot,,ethan-pinnock,855864,8.1,44.3,0,0,52.6,31.0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
21,0.88523089885712,0.962,1773938,15,,864,31,1836,shot,regular,vitaly-janelt,814873,3.6,47.0,0,0,51.9,10.8,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
22,0.2130251377821,,1773936,15,,862,31,1838,shot,,mathias-jensen,799251,13.6,60.8,0,0,69.4,2.8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
23,0.080426231026649,,1773932,12,,699,34,2001,shot,,harry-kane,108579,24.8,54.5,0,0,49.5,19.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
