,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_free-kick,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.18435804545879,1779535,90,6.0,5746,1,554,shot,,,ollie-watkins,555386,5.0,50.3,0,0,50.9,68.1,0,1,0,0,1,0,0,0,1,0,1,0,0
1,0.033765438944101,1779496,88,,5235,3,165,shot,,,calum-chambers,227942,25.4,53.4,0,0,42.2,81.9,1,0,0,0,1,0,0,0,1,0,0,0,1
2,0.022987054660916,1779487,87,,5195,4,205,shot,,,heung-min-son,111505,20.4,28.4,0,0,50.4,19.0,1,0,0,0,0,1,1,0,0,0,0,0,1
3,0.038880974054337,1779417,79,,4689,12,711,shot,0.0236,,douglas-luiz,867887,19.4,51.3,0,0,50.0,3.2,1,0,0,0,1,0,0,0,0,1,0,1,0
4,0.29525876045227,1779389,73,,4376,18,1024,shot,0.5344,regular,douglas-luiz,867887,7.7,49.3,0,0,49.3,15.8,1,0,0,0,1,0,0,1,0,0,0,0,1
5,0.049191404134035,1779361,68,,4077,23,1323,shot,,,douglas-luiz,867887,24.0,52.1,0,0,50.7,19.0,1,0,0,0,1,0,1,0,0,0,0,0,1
6,0.15844061970711,1779352,68,,4028,23,1372,shot,,,harry-kane,108579,13.4,55.3,0,0,67.4,61.1,1,0,0,0,0,1,0,0,1,0,0,1,0
7,0.044938907027245,1779338,64,,3811,27,1589,shot,,,ollie-watkins,555386,4.6,32.2,0,0,51.8,19.0,1,0,0,0,1,0,1,0,0,0,0,1,0
8,0.073003888130188,1779322,64,,3783,27,1617,shot,,,ollie-watkins,555386,11.5,42.1,0,0,49.3,19.0,1,0,0,0,1,0,1,0,0,0,0,1,0
9,0.031057132408023,1779298,60,,3583,31,1817,shot,,,douglas-luiz,867887,30.3,52.2,0,0,50.3,19.0,0,0,1,0,1,0,1,0,0,0,0,0,1
10,0.22996865212917,1779273,57,,3393,34,2007,shot,,,ivan-perisic,38710,9.9,35.1,0,0,50.3,69.4,0,0,0,1,0,1,0,0,1,0,0,1,0
11,0.12889896333218,1779238,50,,2960,41,2440,shot,0.2081,regular,emiliano-buendia,783126,10.7,40.3,0,0,52.9,3.2,1,0,0,0,1,0,0,1,0,0,0,0,1
12,0.024249505251646,1779240,50,,2954,41,2446,shot,0.0272,,douglas-luiz,867887,29.1,48.0,0,0,51.0,14.6,1,0,0,0,1,0,0,0,0,1,0,0,1
13,0.0200564134866,1779205,45,1.0,2724,1,2676,shot,,,emiliano-buendia,783126,21.2,27.4,0,0,41.0,37.5,1,0,0,0,1,0,0,0,1,0,0,0,1
14,0.040602590888739,1779203,44,,2622,2,78,shot,0.0787,,heung-min-son,111505,11.0,17.8,0,0,51.1,28.5,0,0,1,0,0,1,0,0,0,1,0,0,1
15,0.12924914062023,1779197,40,,2344,6,356,shot,,,harry-kane,108579,7.0,46.0,0,0,53.6,19.0,1,0,0,0,0,1,1,0,0,0,1,0,0
16,0.077044658362865,1779176,13,,723,33,1977,shot,,,matt-doherty,143047,4.4,64.1,0,0,45.2,11.1,1,0,0,0,0,1,1,0,0,0,0,0,1
17,0.10735631734133,1779172,9,,517,37,2183,shot,,,ollie-watkins,555386,13.7,40.6,0,0,59.3,4.2,1,0,0,0,1,0,0,0,1,0,0,0,1
18,0.011564121581614,1779165,3,,145,43,2555,shot,,,ashley-young,10589,27.5,62.3,0,0,51.0,19.0,0,0,0,1,1,0,1,0,0,0,0,0,1
