,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.030474837869406,2000948,90,7.0,5808,1,492,shot,,,pedro-porro,913654,20.0,67.5,0,0,62.7,52.8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
1,0.093079596757889,2000945,90,6.0,5704,1,596,shot,,,clement-lenglet,580550,7.9,50.0,0,0,49.0,19.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
2,0.018625030294061,2000943,90,5.0,5682,1,618,shot,,,pedro-porro,913654,22.6,63.2,0,0,50.5,19.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
3,0.13278625905514,2000940,90,5.0,5662,1,638,shot,,,pedro-porro,913654,8.5,63.3,0,0,52.8,19.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
4,0.048194121569395,2000939,90,2.0,5493,1,807,shot,,,lucas-moura,149710,11.8,55.7,0,0,36.6,4.2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
5,0.037764567881823,2000936,90,2.0,5491,1,809,shot,,,heung-min-son,111505,16.6,50.5,0,0,50.2,19.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
6,0.20095872879028,2000932,90,2.0,5462,1,838,shot,0.142,,richarlison,840217,3.6,44.7,0,0,50.2,32.9,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
7,0.11315131932497,2000925,90,1.0,5454,1,846,shot,0.1815,,richarlison,840217,6.3,43.5,0,0,53.2,18.4,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
8,0.67087703943253,2000914,88,,5225,3,175,shot,0.9208,regular,yoane-wissa,805123,8.6,50.4,0,0,52.9,14.6,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
9,0.093547515571117,2000909,85,,5086,6,314,shot,,,lucas-moura,149710,6.7,55.7,0,0,54.1,19.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
10,0.081472761929035,2000895,82,,4905,9,495,shot,0.2346,,richarlison,840217,8.5,53.3,0,0,52.5,21.5,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
11,0.025988016277552,2000890,80,,4762,11,638,shot,,,harry-kane,108579,19.7,66.0,0,0,59.5,62.5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
