,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,xgot,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.094338424503803,1895192,90,9.0,5890,1,410,shot,,,clement-lenglet,580550,8.0,45.0,0,0,57.3,40.3,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
1,0.033232904970646,1895172,90,7.0,5766,1,534,shot,,,pape-matar-sarr,1002711,23.1,46.4,0,0,70.4,13.9,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2,0.7884,1895142,90,3.0,5551,1,749,shot,penalty,0.9906,james-ward-prowse,161717,11.5,50.0,0,0,47.4,29.7,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
3,0.027771551162004,1895111,90,,5380,1,20,shot,,,mohammed-salisu,946158,9.4,38.4,0,0,48.2,19.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
4,0.039714448153973,1895098,90,,5340,1,60,shot,,,carlos-alcaraz,1017392,15.5,57.8,0,0,47.6,19.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
5,0.069412469863892,1894947,79,,4681,12,719,shot,,0.0261,sekou-mara,1047484,13.2,40.2,0,0,49.8,5.1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
6,0.21854963898659,1894942,77,,4608,14,792,shot,regular,0.4768,theo-walcott,10501,7.7,51.2,0,0,53.2,1.3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
7,0.019964657723904,1894928,77,,4565,14,835,shot,,0.2168,ainsley-maitland-niles,352768,27.2,53.0,0,0,47.4,29.7,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
8,0.043584831058979,1894901,74,,4436,17,964,shot,regular,0.2544,ivan-perisic,38710,16.0,45.8,0,0,46.5,17.7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
9,0.016904069110751,1894863,72,,4281,19,1119,shot,,0.2093,romain-perraud,827519,23.2,26.2,0,0,54.3,15.8,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
10,0.020192550495267,1894813,69,,4111,22,1289,shot,,0.0165,james-ward-prowse,161717,30.2,33.8,0,0,49.9,5.7,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
