,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.30058664083481,0.3098,1837145,90,3.0,5573,1,727,shot,,rodri,827606,3.3,52.4,0,0,48.1,22.2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1,0.035333957523108,,1837119,89,,5325,2,75,shot,,kevin-de-bruyne,70996,28.3,39.8,0,0,51.5,19.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
2,0.048414975404739,,1837073,77,,4575,14,825,shot,,pierre-emile-hojbjerg,149593,19.9,61.4,0,0,58.8,6.9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3,0.024136142805219,0.2054,1837075,77,,4567,14,833,shot,,heung-min-son,111505,26.6,47.0,0,0,53.3,4.4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
4,0.0095670185983181,0.0368,1837074,76,,4554,15,846,shot,,kyle-walker,44614,26.8,54.0,0,0,50.7,23.4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
5,0.061826568096876,,1837063,73,,4375,18,1025,shot,,rodri,827606,8.8,48.5,0,0,60.7,61.1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
6,0.30733245611191,0.2035,1837054,70,,4140,21,1260,shot,,harry-kane,108579,8.7,38.8,0,0,51.0,3.2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
7,0.045326832681894,,1837050,69,,4105,22,1295,shot,,harry-kane,108579,13.9,73.3,0,0,67.9,4.2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
8,0.055703066289425,,1837045,68,,4023,23,1377,shot,,julian-alvarez,944656,16.7,65.5,0,0,57.5,40.3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
9,0.062303826212883,,1837039,65,,3858,26,1542,shot,,kevin-de-bruyne,70996,18.2,43.5,0,0,40.8,2.8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
10,0.066696278750896,,1837038,65,,3855,26,1545,shot,,manuel-akanji,383560,13.1,61.8,0,0,48.6,19.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
11,0.14258229732513,,1837034,64,,3803,27,1597,shot,,julian-alvarez,944656,13.4,53.6,0,0,53.2,19.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
12,0.074595838785172,,1837012,56,,3350,35,2050,shot,,ben-davies,94758,5.1,59.2,0,0,45.7,58.3,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
13,0.27298647165298,,1836985,47,,2811,44,2589,shot,,harry-kane,108579,13.1,54.5,0,0,98.2,6.9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
14,0.12340549379587,,1836936,45,1.0,2747,1,2653,shot,,riyad-mahrez,158213,9.0,64.2,0,0,52.0,39.9,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
15,0.052688475698233,,1836937,44,,2585,2,115,shot,,eric-dier,146101,5.2,67.3,0,0,77.0,9.7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
16,0.080020375549793,,1836935,44,,2583,2,117,shot,,eric-dier,146101,8.7,60.6,0,0,46.9,19.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
17,0.065684504806995,,1836928,44,,2581,2,119,shot,,harry-kane,108579,8.5,57.6,0,0,49.8,19.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
18,0.091208025813103,,1836925,44,,2580,2,120,shot,,eric-dier,146101,4.6,60.0,0,0,52.5,19.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
19,0.05269180983305,,1836910,42,,2478,4,222,shot,,jack-grealish,189061,14.4,33.2,0,0,39.8,34.7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
20,0.10127208381891,0.3884,1836903,41,,2405,5,295,shot,,rodri,827606,17.9,55.9,0,0,45.9,1.9,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
21,0.043857403099537,,1836867,30,,1799,16,901,shot,,dejan-kulusevski,928124,20.9,62.5,0,0,49.6,19.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
22,0.041763506829739,0.0734,1836816,19,,1100,27,1600,shot,,bernardo-silva,331209,22.8,43.3,0,0,51.7,2.5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
23,0.35416820645332,0.6289,1836806,15,,848,31,1852,shot,regular,harry-kane,108579,11.4,55.5,0,0,52.9,10.1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
24,0.060930337756872,,1836770,6,,342,40,2358,shot,,julian-alvarez,944656,15.0,56.7,0,0,48.9,19.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
25,0.1671942025423,0.0696,1836769,5,,279,41,2421,shot,,manuel-akanji,383560,5.3,49.3,0,0,49.8,2.5,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
26,0.039944022893906,,1836764,5,,244,41,2456,shot,,riyad-mahrez,158213,15.5,68.6,0,0,53.1,19.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
