,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,xgot,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_free-kick,shot_sit_regular,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.051656607538462,1794779,90,2.0,5492,1,808,shot,,,julian-alvarez,944656,12.2,33.2,0,0,60.0,68.1,1,0,0,0,0,1,0,0,1,0,0,1,0
1,0.5242063999176,1794777,90,,5347,1,53,shot,regular,0.1738,riyad-mahrez,158213,14.3,45.1,0,0,49.7,9.5,0,0,0,1,0,1,0,1,0,0,0,1,0
2,0.076797977089882,1794770,82,,4872,9,528,shot,,,rodri,827606,3.3,39.1,0,0,53.9,19.0,0,1,0,0,0,1,1,0,0,0,1,0,0
3,0.041982986032963,1794765,74,,4421,17,979,shot,,,cristian-romero,829932,24.5,52.5,0,0,44.0,76.4,0,0,0,1,1,0,0,0,1,0,0,0,1
4,0.032003283500671,1794757,63,,3775,28,1625,shot,regular,0.1346,riyad-mahrez,158213,5.7,70.8,0,0,46.3,5.1,1,0,0,0,0,1,0,1,0,0,0,0,1
5,0.024408251047134,1794755,62,,3714,29,1686,shot,,,harry-kane,108579,22.1,32.8,0,0,39.3,6.9,1,0,0,0,1,0,0,0,1,0,0,1,0
6,0.31100487709045,1794753,60,,3545,31,1855,shot,,,ivan-perisic,38710,7.4,42.9,0,0,50.8,5.6,1,0,0,0,1,0,1,0,0,0,0,0,1
7,0.08455653488636,1794750,56,,3323,35,2077,shot,,,riyad-mahrez,158213,18.1,57.9,0,0,42.0,22.2,0,0,0,1,0,1,0,0,1,0,0,0,1
8,0.70322632789612,1794748,53,,3179,38,2221,shot,regular,0.9771,erling-haaland,839956,3.2,48.4,0,0,48.3,33.5,1,0,0,0,0,1,0,1,0,0,1,0,0
9,0.1933017373085,1794746,51,,3049,40,2351,shot,regular,0.756,julian-alvarez,944656,8.3,51.0,0,0,51.6,25.9,0,0,0,1,0,1,0,1,0,0,0,0,1
10,0.225740224123,1794745,51,,3046,40,2354,shot,,,ilkay-gundogan,45853,4.8,53.8,0,0,52.2,19.0,1,0,0,0,0,1,1,0,0,0,1,0,0
11,0.036538299173117,1794743,48,,2835,43,2565,shot,,,julian-alvarez,944656,22.7,70.5,0,0,63.5,2.8,1,0,0,0,0,1,0,0,1,0,0,0,1
12,0.10025987029076,1794723,45,2.0,2766,1,2634,shot,regular,0.0666,emerson-royal,856123,5.4,59.6,0,0,48.4,19.6,0,0,0,1,1,0,0,1,0,0,1,0,0
13,0.036489047110081,1794722,45,2.0,2764,1,2636,shot,,,harry-kane,108579,1.7,69.3,0,0,99.8,1.4,0,0,0,1,1,0,0,0,1,0,0,0,1
14,0.12560488283634,1794720,44,,2639,2,61,shot,regular,0.1845,dejan-kulusevski,928124,14.4,61.1,0,0,52.6,5.7,0,0,0,1,1,0,0,1,0,0,0,1,0
15,0.092790745198727,1794715,43,,2532,3,168,shot,,,erling-haaland,839956,8.3,47.2,0,0,51.1,55.6,1,0,0,0,0,1,0,0,1,0,1,0,0
16,0.10123671591282,1794711,42,,2477,4,223,shot,,0.3179,erling-haaland,839956,8.8,34.0,0,0,52.1,3.2,1,0,0,0,0,1,0,0,0,1,0,1,0
17,0.036348450928926,1794708,39,,2325,7,375,shot,,0.1226,rico-lewis,1136731,22.9,57.7,0,0,47.6,1.9,1,0,0,0,0,1,0,0,0,1,0,0,1
18,0.065881781280041,1794704,37,,2200,9,500,shot,,,harry-kane,108579,11.4,62.1,0,0,47.5,19.0,1,0,0,0,1,0,1,0,0,0,0,0,1
19,0.089749969542027,1794702,36,,2136,10,564,shot,,0.0702,heung-min-son,111505,7.8,54.9,0,0,48.1,15.8,1,0,0,0,1,0,0,0,0,1,1,0,0
20,0.040507294237614,1794693,28,,1635,18,1065,shot,,,rodri,827606,25.3,54.6,0,0,48.6,19.0,0,0,0,1,0,1,1,0,0,0,0,0,1
21,0.014816190116107,1794691,27,,1575,19,1125,shot,,,emerson-royal,856123,26.7,61.2,0,0,58.3,81.9,0,1,0,0,1,0,0,0,1,0,0,0,1
22,0.096234075725079,1794682,21,,1203,25,1497,shot,,,julian-alvarez,944656,12.4,46.1,0,0,46.9,12.5,0,1,0,0,0,1,1,0,0,0,0,1,0
23,0.020376062020659,1794680,19,,1119,27,1581,shot,,,ilkay-gundogan,45853,23.0,31.6,0,0,39.8,26.4,1,0,0,0,0,1,0,0,1,0,0,0,1
24,0.054350182414055,1794673,13,,720,33,1980,shot,,,riyad-mahrez,158213,24.9,60.6,0,0,48.2,19.0,0,0,1,0,0,1,1,0,0,0,0,1,0
