,xg,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,xgot,addedTime,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot
0,0.015878388658166,1848092,86,5159,5,241,shot,,,,eric-dier,146101,11.1,59.6,0,0,36.6,41.7,0,1,0,0,1,0,0,0,1,0,1,0,0,0
1,0.021220903843641,1848090,84,5032,7,368,shot,,,,ben-davies,94758,28.6,32.2,0,0,55.8,80.6,1,0,0,0,1,0,0,0,1,0,0,1,0,0
2,0.032262485474348,1848077,81,4850,10,550,shot,,,,pape-matar-sarr,1002711,23.6,50.1,0,0,50.7,19.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
3,0.6014107465744,1848069,79,4707,12,693,shot,,,,malick-thiaw,1014286,3.3,52.7,0,0,57.3,16.7,1,0,0,0,0,1,0,0,1,0,1,0,0,0
4,0.30036523938179,1848064,78,4641,13,759,shot,,,,charles-de-ketelaere,960441,7.5,47.8,0,0,40.8,12.5,1,0,0,0,0,1,0,0,1,0,1,0,0,0
5,0.020192550495267,1848040,75,4467,16,933,shot,0.1067,,,pape-matar-sarr,1002711,30.5,29.8,0,0,52.5,2.5,0,0,1,0,1,0,0,0,0,1,0,0,0,1
6,0.078261062502861,1848042,74,4437,17,963,shot,,,,richarlison,840217,10.2,66.2,0,0,49.9,19.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
7,0.026719938963652,1847987,69,4090,22,1310,shot,0.0241,,,pierre-kalulu,965330,14.5,48.9,0,0,49.9,22.2,0,0,0,1,0,1,0,0,0,1,1,0,0,0
8,0.011881285347044,1847971,66,3939,25,1461,shot,,,,pape-matar-sarr,1002711,23.7,47.6,0,0,51.8,19.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
9,0.029152875766158,1847917,59,3490,32,1910,shot,,,,dejan-kulusevski,928124,17.2,70.7,0,0,49.3,19.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
10,0.059449285268784,1847874,53,3140,38,2260,shot,,,,brahim-diaz,835485,9.7,69.5,0,0,49.4,19.0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
11,0.14397455751896,1847712,45,2807,1,2593,shot,,2.0,,harry-kane,108579,9.2,54.6,0,0,29.2,5.6,1,0,0,0,1,0,0,0,1,0,0,0,0,1
12,0.024438112974167,1847706,43,2548,3,152,shot,,,,rafael-leao,851284,18.1,26.4,0,0,34.3,86.1,1,0,0,0,0,1,0,0,1,0,0,0,0,1
13,0.024660697206855,1847634,26,1522,20,1178,shot,0.0177,,,emerson-royal,856123,27.7,37.9,0,0,50.7,12.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
14,0.026007357984781,1847594,21,1219,25,1481,shot,,,,eric-dier,146101,12.5,42.5,0,0,62.0,36.1,0,0,0,1,1,0,0,0,1,0,1,0,0,0
15,0.035206723958254,1847539,13,731,33,1969,shot,0.0263,,,eric-dier,146101,11.8,46.2,0,0,50.4,5.1,0,0,0,1,1,0,0,0,0,1,1,0,0,0
16,0.69944781064987,1847504,7,384,39,2316,shot,0.9676,,regular,brahim-diaz,835485,1.2,50.1,0,0,50.5,20.9,0,0,1,0,0,1,0,1,0,0,1,0,0,0
17,0.40822696685791,1847500,7,382,39,2318,shot,0.7468,,,brahim-diaz,835485,6.8,51.8,0,0,51.7,15.8,0,0,1,0,0,1,0,0,0,1,0,0,0,1
18,0.048675268888474,1847498,7,381,39,2319,shot,0.0665,,,theo-hernandez,788027,5.4,31.2,0,0,52.6,15.8,0,0,1,0,0,1,0,0,0,1,0,1,0,0
19,0.044926006346941,1847481,3,134,43,2566,shot,,,,malick-thiaw,1014286,13.6,47.8,0,0,20.0,9.7,0,0,0,1,0,1,0,0,1,0,0,0,1,0
