,xg,xgot,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,addedTime,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot
0,0.018035672605038,0.0212,1792872,88,5232,3,168,shot,,,dejan-kulusevski,928124,21.4,75.1,0,0,50.7,12.7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0.049850329756737,,1792873,87,5212,4,188,shot,,,heung-min-son,111505,19.1,27.0,0,0,51.2,19.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
2,0.062941029667854,,1792867,84,4981,7,419,shot,,,heung-min-son,111505,12.1,61.5,0,0,50.5,19.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
3,0.12409004569054,0.1504,1792865,82,4908,9,492,shot,,,richarlison,840217,9.0,35.7,0,0,48.2,1.3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
4,0.06085392087698,,1792866,82,4904,9,496,shot,,,heung-min-son,111505,22.8,55.7,0,0,54.1,19.4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
5,0.062946572899818,,1792870,82,4892,9,508,shot,,,heung-min-son,111505,14.1,62.6,0,0,51.6,19.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
6,0.091081649065018,,1792860,79,4692,12,708,shot,,,granit-xhaka,117777,20.7,57.0,0,0,55.1,62.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
7,0.10154887288809,,1792857,73,4363,18,1037,shot,,,edward-nketiah,858194,8.0,64.1,0,0,52.8,6.9,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
8,0.62168741226196,0.5982,1792848,69,4134,22,1266,shot,,,edward-nketiah,858194,8.3,59.0,0,0,51.0,9.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
9,0.02700862288475,,1792844,68,4029,23,1371,shot,,,thomas-partey,316148,25.9,36.9,0,0,36.8,6.9,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
