,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,xgot,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_free-kick,shot_sit_penalty,shot_sit_regular,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.077867299318314,1990161,90,4.0,5601,1,699,shot,,,dejan-kulusevski,928124,18.9,63.1,0,0,59.8,81.9,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0.05494886636734,1990162,90,3.0,5573,1,727,shot,,,arnaut-danjuma,827064,16.3,33.0,0,0,54.2,19.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
2,0.7884,1990138,90,,5358,1,42,shot,penalty,0.9925,harry-kane,108579,11.5,50.0,0,0,45.8,14.6,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
3,0.081190966069698,1990043,72,,4293,19,1107,shot,regular,0.3128,douglas-luiz,867887,23.8,52.2,0,0,46.9,24.1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
4,0.14030377566814,1989981,65,,3860,26,1540,shot,,,dejan-kulusevski,928124,5.3,66.9,0,0,56.8,2.8,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
5,0.30376705527306,1989879,52,,3114,39,2286,shot,,0.3411,harry-kane,108579,15.2,47.6,0,0,52.1,4.4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
6,0.056770130991936,1989877,51,,3058,40,2342,shot,,0.0594,emiliano-buendia,783126,14.6,65.1,0,0,51.1,20.9,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
7,0.031507018953562,1989845,49,,2909,42,2491,shot,,,john-mcginn,250223,22.2,63.5,0,0,61.3,37.5,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
8,0.091396294534206,1989847,47,,2814,44,2586,shot,,,ashley-young,10589,9.5,59.8,0,0,98.2,4.2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
9,0.078588642179966,1989718,43,,2553,3,147,shot,,,emiliano-buendia,783126,15.1,40.8,0,0,55.1,39.2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
10,0.47468334436417,1989708,41,,2410,5,290,shot,,,ollie-watkins,555386,5.1,46.8,0,0,39.0,2.8,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
11,0.21201454102993,1989661,32,,1908,14,792,shot,,0.2534,leon-bailey,808590,9.4,47.5,0,0,50.5,3.8,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
12,0.15041364729404,1989546,8,,446,38,2254,shot,regular,0.9123,jacob-ramsey,975937,8.3,54.9,0,0,45.8,2.5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
