,xg,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,xgot,addedTime,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.038667239248753,1872537,89,5322,2,78,shot,,,,nelson-semedo,252821,14.8,67.0,0,0,70.9,18.1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1,0.041081361472607,1872510,88,5234,3,166,shot,,,,heung-min-son,111505,21.9,62.0,0,0,52.7,19.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
2,0.084465660154819,1872436,82,4896,9,504,shot,regular,0.5778,,adama-traore,286165,14.5,52.2,0,0,53.9,31.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
3,0.048055581748486,1872421,82,4893,9,507,shot,,0.0302,,raul-jimenez,192442,18.1,65.3,0,0,50.8,13.9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
4,0.021803395822644,1872397,80,4788,11,612,shot,,,,ivan-perisic,38710,19.8,38.2,0,0,60.5,2.8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
5,0.16768431663513,1872392,80,4753,11,647,shot,,,,harry-kane,108579,3.6,59.0,0,0,47.4,19.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
6,0.06374603509903,1872332,76,4505,15,895,shot,,,,harry-kane,108579,17.9,61.7,0,0,43.0,44.4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
7,0.20699316263199,1872301,73,4360,18,1040,shot,,,,matheus-cunha,886363,7.5,66.1,0,0,42.7,5.6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
8,0.030876999720931,1872258,70,4174,21,1226,shot,,,,ruben-neves,280955,22.5,41.5,0,0,52.8,63.9,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
9,0.022750662639737,1872243,69,4131,22,1269,shot,,0.0304,,ruben-neves,280955,28.7,52.7,0,0,49.9,27.2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
10,0.011795126833022,1872262,69,4085,22,1315,shot,,0.5432,,ruben-neves,280955,29.1,74.2,0,0,54.6,18.4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
11,0.027981331571937,1872170,64,3802,27,1598,shot,,0.304,,pedro-porro,913654,21.8,67.8,0,0,46.7,31.6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
12,0.023004533722997,1872112,60,3592,31,1808,shot,,0.2561,,heung-min-son,111505,26.8,67.6,0,0,45.7,17.1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
13,0.084268376231194,1872101,59,3523,32,1877,shot,,0.0404,,clement-lenglet,580550,11.4,47.6,0,0,50.2,29.1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
14,0.082552917301655,1872087,55,3247,36,2153,shot,,0.1007,,raul-jimenez,192442,8.5,53.0,0,0,52.0,15.8,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
15,0.018580811098218,1872025,53,3137,38,2263,shot,,,,pedro-porro,913654,23.2,56.9,0,0,48.7,19.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
16,0.080817006528378,1872018,53,3135,38,2265,shot,,,,harry-kane,108579,22.0,46.7,0,0,47.9,19.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
17,0.093590453267097,1871942,47,2802,44,2598,shot,,,,heung-min-son,111505,8.0,33.9,0,0,50.8,19.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
18,0.043093826621771,1871819,45,3052,1,2348,shot,,,6.0,dejan-kulusevski,928124,10.8,65.4,0,0,49.2,19.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
19,0.078373432159424,1871817,45,3049,1,2351,shot,,,6.0,pedro-porro,913654,21.2,38.2,0,0,45.8,39.2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
20,0.083663672208786,1871678,41,2417,5,283,shot,,0.1262,,ivan-perisic,38710,5.1,36.5,0,0,53.2,19.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
21,0.030642075464129,1871450,20,1182,26,1518,shot,,,,ben-davies,94758,26.5,48.5,0,0,50.5,19.0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
22,0.026428679004312,1871447,20,1165,26,1535,shot,,,,skipp-oliver,859901,24.5,66.3,0,0,69.7,2.8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
23,0.053367584943771,1871434,19,1130,27,1570,shot,,0.4994,,dejan-kulusevski,928124,11.1,70.6,0,0,54.1,9.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
